,Band,Song,Player,Technique,Difficulty,Score
0,The Beatles,Blackbird,Paul McCartney,"['Guitar', 'Acoustic Guitar (nylon)']",Intermediate,3/8
1,Isaac Albéniz,Asturias (Leyenda),Ýz 1,['Acoustic Guitar (nylon)'],Intermediate,5/8
2,AC/DC,Back In Black,Angus Young (Lead),['Distortion Guitar'],Intermediate,3/8
3,Pachelbel,Canon in D Major,,['Acoustic Guitar (nylon)'],Intermediate,4/8
4,Led Zeppelin,"Babe, I'm Gonna Leave You",Jimmy Page,['Acoustic Guitar (steel)'],Beginner,2/8
5,Jimi Hendrix,Little Wing,Jimi Hendrix,['Electric Guitar (jazz) 1'],Intermediate,5/8
6,Pink Floyd,Shine On You Crazy Diamond (Parts I - IX),David Gilmour,"['Lap Steel Harmony', 'Overdriven Guitar']",Beginner,2/8
7,Kansas,Dust In The Wind,,"['Acoustic Guitar (nylon)', 'Guitar 1']",Intermediate,3/8
8,Francisco Tarrega,Capricho Arabe,,"['Acoustic Guitar (nylon)', 'Serenata para Guitarra']",Intermediate,5/8
9,Pachelbel,Canon In C,,['Acoustic Guitar (nylon)'],Beginner,1/8
10,Frank Sinatra,Fly Me To The Moon (Fingerstyle),,"['Acoustic Guitar (nylon)', 'Nylon Guitar']",Intermediate,3/8
11,Marilyn Manson,Sweet Dreams,Daisy Berkowitz,"['Lead Guitar', 'Distortion Guitar']",Intermediate,4/8
12,Van Halen,Panama,Edward Van Halen,['Distortion Guitar'],Intermediate,4/8
13,Johnny Cash,Hurt,,['Acoustic Guitar (steel)'],Beginner,2/8
14,Metallica,Nothing Else Matters (Acoustic),,"['Acoustic Guitar (steel)', 'Guitar 1']",Intermediate,5/8
15,Kaare Norge,Nocturne Op. 9 No. 2 (Frederic Chopin),,"['Acoustic Guitar (nylon)', 'Classical Guitar']",Intermediate,5/8
16,Dire Straits,Sultans Of Swing,Mark Knopfler,"['Lead Guitar', 'Electric Guitar (clean)']",Intermediate,3/8
17,Papa Roach,Last Resort,Jerry Horton,['Distortion Guitar'],Intermediate,4/8
18,Metallica,Orion,Kirk Hammett,"['Lead Guitar', 'Distortion Guitar']",Intermediate,3/8
19,Slash,Anastasia,Slash,"['Lead Guitar', 'Distortion Guitar']",Intermediate,4/8
20,Red Hot Chili Peppers,Scar Tissue,John Frusciante (Main),['Electric Guitar (clean)'],Intermediate,3/8
21,Linkin Park,Numb (Fingerstyle),,"['Acoustic Guitar (nylon)', 'Nylon Guitar']",Beginner,2/8
22,Lynyrd Skynyrd,Sweet Home Alabama,Ed King ,['Electric Guitar (clean)'],Beginner,2/8
23,Slash,The Godfather Theme,SLASH,['Distortion Guitar'],Intermediate,4/8
24,Ozzy Osbourne,Crazy Train,,"['Distortion Guitar', 'Randy Rhoads (Lead Guitar)']",Intermediate,5/8
25,Yiruma-Shunga Jung Fingerstyle,River flows in you-Yiruma (shunga jung),Track 1,['Acoustic Guitar (nylon)'],Intermediate,3/8
26,Megadeth,Hangar 18,Dave Mustaine,['Distortion Guitar'],Intermediate,5/8
27,Van Halen,Eruption,Eddie Van Halen,['Distortion Guitar'],Advanced,7/8
28,Led Zeppelin,Stairway To Heaven (Guitar Solo),Jimmy Page (Solo),['Overdriven Guitar'],Intermediate,5/8
29,Theme Songs,Pirates Of The Caribbean,,"['Acoustic Guitar (steel)', 'Guitar 1']",Beginner,2/8
30,Black Sabbath,Iron Man,Tony Iommi,"['Guitar', 'Distortion Guitar']",Intermediate,3/8
31,Dick Dale,Misirlou,,"['Electric Guitar (clean)', 'Guitar 1']",Intermediate,4/8
32,Ed Sheeran,I See Fire (Fingerstyle Cover By Gp),,"['Acoustic Guitar (steel)', 'Nylon Guitar']",Intermediate,3/8
33,Megadeth,Symphony Of Destruction,Marty Friedman,['Distortion Guitar'],Intermediate,3/8
34,Ludwig Van Beethoven,Moonlight Sonata (Acoustic Version),,['Acoustic Guitar (nylon)'],Intermediate,4/8
35,Guns N' Roses,Don't Cry,,"['Distortion Guitar', 'Guitar 1 (Slash)']",Intermediate,3/8
36,AC/DC,You Shook Me All Night Long,Angus Young,['Distortion Guitar'],Intermediate,3/8
37,Mason Williams,Classical Gas,Mason Williams,['Acoustic Guitar (steel)'],Intermediate,3/8
38,JerryC,Canon Rock,Lead,['Distortion Guitar'],Intermediate,5/8
39,Muse,Psycho,,"['Matt Bellamy', 'Overdriven Guitar', 'Distortion Guitar']",Intermediate,3/8
40,Megadeth,Holy Wars... The Punishment Due,Dave Mustaine,['Distortion Guitar'],Intermediate,5/8
41,Megadeth,Tornado Of Souls,Marty Friedman,['Distortion Guitar'],Intermediate,4/8
42,Slayer,Raining Blood,Kerry King,['Distortion Guitar'],Intermediate,5/8
43,Slayer,Angel Of Death,Jeff Hanneman,['Distortion Guitar'],Advanced,6/8
44,Slipknot,Psychosocial,Mick T.,"['Guitar', 'Distortion Guitar']",Intermediate,3/8
45,Blind Guardian,The Bards Song,Acoustic 1,['Acoustic Guitar (steel)'],Beginner,2/8
46,Red Hot Chili Peppers,Can't Stop,John Frusciante,['Overdriven Guitar'],Intermediate,3/8
47,Gary Moore,The Loner,Lead,['Distortion Guitar'],Intermediate,3/8
48,Sungha Jung,Howls Moving Castle,Track 1,['Acoustic Guitar (steel)'],Beginner,2/8
49,Children Of Bodom,Are You Dead Yet?,Alexi Laiho,['Distortion Guitar'],Intermediate,3/8
50,Estas Tonne,The Song Of The Golden Dragon,Estas Tonné,['Acoustic Guitar (nylon)'],Intermediate,5/8
51,AC/DC,Hells Bells,Angus Young,['Distortion Guitar'],Intermediate,4/8
52,Mayhem,Freezing Moon,Euronymous,['Distortion Guitar'],Intermediate,3/8
53,Foo Fighters,Everlong,,"['Distortion Guitar', 'Dave Grohl (Rhythm Guitar)']",Intermediate,3/8
54,Guns N' Roses,November Rain,Slash (Lead),['Distortion Guitar'],Intermediate,3/8
55,Guns N' Roses,Paradise City,Slash,"['Lead', 'Distortion Guitar']",Intermediate,5/8
56,Avenged Sevenfold,Buried Alive,,"['Electric Guitar (clean)', 'Clean Guitar (Synyster Gates)']",Intermediate,4/8
57,Metallica,Ride The Lightning,Kirk Hammett,"['Lead', 'Distortion Guitar']",Intermediate,3/8
58,Alan Walker,Faded Fingerstyle,,"['Acoustic Guitar (steel)', 'Steel Guitar']",Beginner,2/8
59,Johann Sebastian Bach,Bouree,,['Acoustic Guitar (steel)'],Intermediate,4/8
60,As I Lay Dying,Through Struggle,Samuel Nicholas Keali'iokalani Hipa,['Distortion Guitar'],Intermediate,3/8
61,Lynyrd Skynyrd,Free Bird,,"['Distortion Guitar', 'Allen Collins (Lead Guitar-Right Stereo)']",Advanced,6/8
62,Judas Priest,Breaking The Law,Glenn Tipton,['Distortion Guitar'],Intermediate,3/8
63,Gojira,Silvera,,"['Distortion Guitar', 'Joe Duplantier (Guitar)']",Intermediate,4/8
64,Bullet For My Valentine,Waking The Demon,Matt Tuck,['Distortion Guitar'],Intermediate,4/8
65,Joe Hisaishi,Spirited Away Ost - One Summer's Day,,['Acoustic Guitar (nylon)'],Beginner,2/8
66,Blue Oyster Cult,Don't Fear The Reaper,,"['Electric Guitar (clean)', 'Guitar 1']",Beginner,2/8
67,Plain White T's,Hey There Delilah,,['Acoustic Guitar (steel)'],Beginner,2/8
68,Led Zeppelin,Whole Lotta Love,,"['Distortion Guitar', 'Jimmy Page Guitar 1 (w/dist) ']",Intermediate,3/8
69,Eddie Van Der Meer,Naruto Ost - Sadness & Sorrow (Fingerstyle),,"['Acoustic Guitar (steel)', 'Steel Guitar']",Beginner,2/8
70,Jimi Hendrix,Purple Haze,Jimi Hendrix,['Distortion Guitar'],Intermediate,3/8
71,Joe Satriani,"Always With Me, Always With You",Melody,['Distortion Guitar'],Intermediate,5/8
72,Lemon,Kenshi Yonezu 米津玄師,트랙 1,['Acoustic Guitar (nylon)'],Intermediate,3/8
73,Yann Tiersen,La Valse D'amélie (Acoustic),Solo,['Acoustic Guitar (nylon)'],Intermediate,4/8
74,Pantera,I'm Broken,Dimebag Darrell,['Distortion Guitar'],Intermediate,4/8
75,Eddie Van Der Meer,Unravel - Tokyo Ghoul OP 1,,"['Acoustic Guitar (steel)', 'Steel Guitar']",Intermediate,4/8
76,Killswitch Engage,My Curse,Adam D.,['Distortion Guitar'],Intermediate,4/8
77,The Police,Every Breath You Take,Andy Summers,['Electric Guitar (clean)'],Beginner,2/8
78,Gary Moore,Parisienne Walkways,Solo,['Distortion Guitar'],Intermediate,3/8
79,Disturbed,Down With The Sickness,Dan Donegan,"['Guitar', 'Distortion Guitar']",Intermediate,3/8
80,Firelake,Dirge For The Planet,Lead,['Acoustic Guitar (steel)'],Beginner,2/8
81,Alice in Chains,Man In The Box,Jerry Cantrell,"['Lead Guitar', 'Distortion Guitar']",Beginner,2/8
82,Jaskier,Toss A Coin To Your Witcher,,"['Acoustic Guitar (nylon)', 'Nylon Guitar']",Beginner,2/8
83,Carlos Santana,Smooth,C. Santana,['Distortion Guitar'],Intermediate,3/8
84,The White Stripes,Seven Nation Army Edit,,"['Distortion Guitar', 'Guitar 1']",Beginner,1/8
85,Avenged Sevenfold,Nightmare,Lead,"['Synyster Gates', 'Distortion Guitar']",Intermediate,3/8
86,Bon Jovi,You Give Love A Bad Name,,['Distortion Guitar'],Beginner,2/8
87,The Rolling Stones,Angie,,['Acoustic Guitar (steel)'],Beginner,2/8
