,0
0,https://www.songsterr.com/a/wsa/unknown-metalcore-idea-tab-s515363t0
1,https://www.songsterr.com/a/wsa/dance-gavin-dance-polka-dot-dobbins-tab-s515362t0
2,https://www.songsterr.com/a/wsa/v2-tab-s515359t1
3,https://www.songsterr.com/a/wsa/efe-karatoprak-feeling-tab-s515358t0
4,https://www.songsterr.com/a/wsa/tab-s515357t0
5,https://www.songsterr.com/a/wsa/judson-escape-tab-s515356t1
6,https://www.songsterr.com/a/wsa/wisniak-def-brut-tab-s515354t0
7,https://www.songsterr.com/a/wsa/lithium-if-i-had-demo-tab-s515353t0
8,https://www.songsterr.com/a/wsa/i-tab-s515352t0
9,https://www.songsterr.com/a/wsa/scorpions-shoot-for-the-heart-tab-s515350t4
10,https://www.songsterr.com/a/wsa/tab-s515349t0
11,https://www.songsterr.com/a/wsa/slipknot-yen-tab-s515348t0
12,https://www.songsterr.com/a/wsa/snougy-math-rocks-wip-tab-s515346t0
13,https://www.songsterr.com/a/wsa/evgeni-vutov-pirate2-tab-s515345t1
14,https://www.songsterr.com/a/wsa/lo-he-tab-s515344t1
15,https://www.songsterr.com/a/wsa/liam-arellano-quixote-miseria-tab-s515343t4
16,https://www.songsterr.com/a/wsa/10cm-c-tab-s515342t0
17,https://www.songsterr.com/a/wsa/darkcloud-sharp-driver-version-distorsion-tab-s515341t0
18,https://www.songsterr.com/a/wsa/darkcloud-sharp-driver-tab-s515340t0
19,https://www.songsterr.com/a/wsa/august-burns-red-1-16-2011-2021-tab-s515339t1
20,https://www.songsterr.com/a/wsa/steve-hansen-tomorrow-konosuba-2-tab-s515338t0
21,https://www.songsterr.com/a/wsa/steve-hansen-rightfully-goblin-slayer-op-tab-s515337t0
22,https://www.songsterr.com/a/wsa/steve-hansen-one-room-sugar-life-happy-sugar-life-op-tab-s515336t0
23,https://www.songsterr.com/a/wsa/steve-hansen-giorno-s-theme-jojo-s-bizarre-adventure-golden-wind-ost-tab-s515335t0
24,https://www.songsterr.com/a/wsa/steve-hansen-kawaki-wo-ameku-domestic-na-kanojo-op-tab-s515333t0
25,https://www.songsterr.com/a/wsa/steve-hansen-fukashigi-no-carte-seibuta-ed-tab-s515332t0
26,https://www.songsterr.com/a/wsa/steve-hansen-error-beatless-op-tab-s515331t0
27,https://www.songsterr.com/a/wsa/shawn-cochran-total-drama-island-drop-d-tab-s515330t1
28,https://www.songsterr.com/a/wsa/steve-hansen-inferno-fire-force-enen-no-shouboutai-op-tab-s515329t0
29,https://www.songsterr.com/a/wsa/sungha-jung-reminiscence-tab-s515328t0
30,https://www.songsterr.com/a/wsa/octopus-montage-my-e-girl-left-me-intro-verse-tab-s515326t3
31,https://www.songsterr.com/a/wsa/me-random-solo-sixteen-tab-s515325t1
32,https://www.songsterr.com/a/wsa/deco-27-feat-hatsune-miku-hibana-in-d-drop-tab-s515323t5
33,https://www.songsterr.com/a/wsa/steeler-sent-from-the-evil-tab-s515322t1
34,https://www.songsterr.com/a/wsa/immolated-humano-impune-tab-s515321t0
35,https://www.songsterr.com/a/wsa/steve-hansen-daddy-daddy-do-kaguya-sama-love-is-war-s2-op-tab-s515320t0
