,0
0,https://www.songsterr.com/a/wsa/mb-morbid-re-tab-s515148t0
1,https://www.songsterr.com/a/wsa/tab-s515049t1
2,https://www.songsterr.com/a/wsa/draft-shit-protools-tab-s514871t1
3,https://www.songsterr.com/a/wsa/katatonia-closing-of-the-sky-tab-s514756t1
4,https://www.songsterr.com/a/wsa/katatonia-untrodden-tab-s514755t2
5,https://www.songsterr.com/a/wsa/katatonia-neon-epitaph-tab-s514754t0
6,https://www.songsterr.com/a/wsa/katatonia-flicker-tab-s514751t2
7,https://www.songsterr.com/a/wsa/katatonia-city-glaciers-tab-s514749t3
8,https://www.songsterr.com/a/wsa/katatonia-vanishers-tab-s514748t1
9,https://www.songsterr.com/a/wsa/katatonia-the-winter-of-our-passing-tab-s514747t0
10,https://www.songsterr.com/a/wsa/katatonia-behind-the-blood-tab-s514745t2
11,https://www.songsterr.com/a/wsa/efe-karatoprak-ura-tab-s514641t0
12,https://www.songsterr.com/a/wsa/misanthropic-extermination-sin-titulo-tab-s514628t0
13,https://www.songsterr.com/a/wsa/misanthropic-extermination-revo-s-tab-s514627t0
14,https://www.songsterr.com/a/wsa/misanthropic-extermination-genocidio-masivo-tab-s514626t0
15,https://www.songsterr.com/a/wsa/misanthropic-extermination-rola-de-7-minutos-tab-s514625t0
16,https://www.songsterr.com/a/wsa/skeletorus-fahrenheit-451-tab-s514543t4
17,https://www.songsterr.com/a/wsa/high-on-fire-fire-flood-plague-tab-s514437t1
18,https://www.songsterr.com/a/wsa/fido-jack-harper-ni-idea-jsjsjs-tab-s514429t3
19,https://www.songsterr.com/a/wsa/gksguitar-always-around-tab-s514187t3
20,https://www.songsterr.com/a/wsa/arch-enemy-intermezzo-liberte-drop-c-tab-s513992t6
21,https://www.songsterr.com/a/wsa/condom-of-hate-tab-s513909t1
22,https://www.songsterr.com/a/wsa/baroness-throw-me-an-anchor-tab-s513829t1
23,https://www.songsterr.com/a/wsa/at-despised-anal-bts-tab-s513728t1
24,https://www.songsterr.com/a/wsa/pestilence-non-physical-existent-tab-s513202t0
25,https://www.songsterr.com/a/wsa/elder-halcyon-tab-s512968t2
26,https://www.songsterr.com/a/wsa/brutalizer-tab-s512913t0
27,https://www.songsterr.com/a/wsa/ascariasis-i-tab-s512549t2
28,https://www.songsterr.com/a/wsa/suidakra-wartunes-tab-s512539t0
29,https://www.songsterr.com/a/wsa/walking-on-glass-today-i-laugh-tab-s512258t4
30,https://www.songsterr.com/a/wsa/ahumado-granujo-cold-turkey-tab-s512053t0
31,https://www.songsterr.com/a/wsa/august-burns-red-meridian-in-correct-tuning-c-standard-tab-s511962t1
32,https://www.songsterr.com/a/wsa/tab-s511625t0
33,https://www.songsterr.com/a/wsa/kirpich-yes-god-tab-s511624t1
34,https://www.songsterr.com/a/wsa/kirpich-no-god-tab-s511544t1
35,https://www.songsterr.com/a/wsa/flemjablorg-untitled-vi-tab-s511324t0
36,https://www.songsterr.com/a/wsa/inferi-vile-genesis-distortion-tab-s511133t0
37,https://www.songsterr.com/a/wsa/inferi-vile-genesis-tab-s511132t0
38,https://www.songsterr.com/a/wsa/god-dethroned-necromagnon-tab-s510793t0
39,https://www.songsterr.com/a/wsa/medieval-don-t-fade-tab-s510657t0
40,https://www.songsterr.com/a/wsa/black-dahlia-murder-kings-of-the-nightworl-tab-s510202t1
41,https://www.songsterr.com/a/wsa/in-flames-only-for-the-weak-ver-2-tab-s510127t1
42,https://www.songsterr.com/a/wsa/wesley-g-badass-heavy-metal-for-guys-tab-s510109t1
43,https://www.songsterr.com/a/wsa/paradisewaskilled-zer0-tab-s510104t3
44,https://www.songsterr.com/a/wsa/beyond-the-grave-skeletal-vortex-tab-s509923t0
45,https://www.songsterr.com/a/wsa/unruh-friendly-fire-tab-s509854t1
46,https://www.songsterr.com/a/wsa/kyuss-odyssey-tab-s509784t1
47,https://www.songsterr.com/a/wsa/eddie-van-de-meer-tuning-e-a-d-g-b-e-perfect-ed-sheeran-tab-s509673t0
48,https://www.songsterr.com/a/wsa/septicflesh-titan-tab-s509511t2
49,https://www.songsterr.com/a/wsa/septicflesh-dantes-inferno-tab-s509501t2
50,https://www.songsterr.com/a/wsa/septicflesh-the-future-belongs-to-the-brave-tab-s509496t3
51,https://www.songsterr.com/a/wsa/lumicrea-tab-s509457t1
52,https://www.songsterr.com/a/wsa/lumicrea-tab-s509414t1
53,https://www.songsterr.com/a/wsa/lumicrea-tab-s509413t1
54,https://www.songsterr.com/a/wsa/lumicrea-tab-s509411t0
55,https://www.songsterr.com/a/wsa/lumicrea-tab-s509410t1
56,https://www.songsterr.com/a/wsa/lumicrea-tab-s509409t1
57,https://www.songsterr.com/a/wsa/lumicrea-tab-s509407t2
58,https://www.songsterr.com/a/wsa/tab-s509053t0
59,https://www.songsterr.com/a/wsa/gulch-e-p-t-s-tab-s509012t0
60,https://www.songsterr.com/a/wsa/arch-enemy-sunset-over-the-empire-tab-s509009t0
61,https://www.songsterr.com/a/wsa/p4-e-b-f-tab-s508912t0
62,https://www.songsterr.com/a/wsa/death-symbolic-solo-c-standard-tab-s508898t1
63,https://www.songsterr.com/a/wsa/elnik-vultus-enim-spes-tab-s508881t1
64,https://www.songsterr.com/a/wsa/draft-shit-ziller-tab-s508809t4
65,https://www.songsterr.com/a/wsa/korea-tab-s508730t2
66,https://www.songsterr.com/a/wsa/b-e-b-r-a-castle-of-babijon-tab-s508691t1
67,https://www.songsterr.com/a/wsa/nails-suffering-soul-tab-s508650t0
68,https://www.songsterr.com/a/wsa/deep-down-in-the-rivers-of-misery-ho-tab-s508583t0
69,https://www.songsterr.com/a/wsa/wisniak-br00tal-def-tab-s508467t0
70,https://www.songsterr.com/a/wsa/arch-enemy-you-will-know-my-name-michael-s-solo-tab-s508393t0
71,https://www.songsterr.com/a/wsa/arch-enemy-you-will-know-my-name-nick-s-solo-tab-s508392t0
72,https://www.songsterr.com/a/wsa/evgeni-vutov-a-sky-with-no-stars-tab-s508053t5
73,https://www.songsterr.com/a/wsa/misanthropic-extermination-demo-7-tab-s507974t0
74,https://www.songsterr.com/a/wsa/fng-morbid-curiosity-of-a-forensic-entomologist-tab-s507973t1
75,https://www.songsterr.com/a/wsa/la-citacion-d-la-muerte-ariztokracia-tab-s507936t0
76,https://www.songsterr.com/a/wsa/misanthropic-demo-6-tab-s507870t2
77,https://www.songsterr.com/a/wsa/misanthropic-demo-5-tab-s507868t0
78,https://www.songsterr.com/a/wsa/misanthropic-demo-3-tab-s507865t0
79,https://www.songsterr.com/a/wsa/cauldron-frozen-in-fire-tab-s507800t1
80,https://www.songsterr.com/a/wsa/cauldron-endless-ways-tab-s507799t1
81,https://www.songsterr.com/a/wsa/cauldron-chained-up-in-chains-tab-s507798t4
82,https://www.songsterr.com/a/wsa/skeletorus-the-storm-of-shards-tab-s507667t2
83,https://www.songsterr.com/a/wsa/moonfly-donnerkogel-tab-s507661t3
84,https://www.songsterr.com/a/wsa/tab-s507500t0
85,https://www.songsterr.com/a/wsa/misanthropic-extermination-tropas-de-baphomet-tab-s507360t0
86,https://www.songsterr.com/a/wsa/1212121hf-hhhhhhh-tab-s507315t1
87,https://www.songsterr.com/a/wsa/alexey-metal-cover-d-tab-s507311t1
88,https://www.songsterr.com/a/wsa/vladimir-metal-cover-tab-s507310t0
89,https://www.songsterr.com/a/wsa/korzus-truth-tab-s507287t1
90,https://www.songsterr.com/a/wsa/burgerkill-under-the-scar-tab-s507182t0
91,https://www.songsterr.com/a/wsa/misanthropic-demo-new-song-tab-s507056t0
92,https://www.songsterr.com/a/wsa/arch-enemy-deceiver-tab-s506959t0
93,https://www.songsterr.com/a/wsa/corprus-colorado-tab-s506947t0
94,https://www.songsterr.com/a/wsa/ashed-winter-eternal-warfare-tab-s506678t3
95,https://www.songsterr.com/a/wsa/antichrist-dissection-blasphemy-night-tab-s506669t1
96,https://www.songsterr.com/a/wsa/static-x-structural-defect-tab-s506471t0
97,https://www.songsterr.com/a/wsa/gksguitar-it-can-t-get-much-better-than-this-tab-s506464t4
98,https://www.songsterr.com/a/wsa/2121-11121-tab-s506455t0
99,https://www.songsterr.com/a/wsa/slipknot-people-shit-c-standard-tab-s506414t0
100,https://www.songsterr.com/a/wsa/walking-on-glass-thomas-the-wiki-tab-s506291t2
101,https://www.songsterr.com/a/wsa/nfri-detroy-tab-s506253t1
102,https://www.songsterr.com/a/wsa/pesho-za-koncerta-3-tab-s506172t0
103,https://www.songsterr.com/a/wsa/tab-s506009t1
104,https://www.songsterr.com/a/wsa/tab-s505822t1
105,https://www.songsterr.com/a/wsa/unruh-disdain-tab-s505290t0
