,0
0,https://www.songsterr.com/a/wsa/wisniak-def-brut-tab-s515354t0
1,https://www.songsterr.com/a/wsa/tab-s515188t0
2,https://www.songsterr.com/a/wsa/tab-s515160t1
3,https://www.songsterr.com/a/wsa/face-of-death-misc-straight-outta-yelm-tab-s515095t0
4,https://www.songsterr.com/a/wsa/testament-wwiii-tab-s514972t0
5,https://www.songsterr.com/a/wsa/draft-shit-idfk-tab-s514869t0
6,https://www.songsterr.com/a/wsa/ktos-cos-tab-s514793t0
7,https://www.songsterr.com/a/wsa/valhalladante-cycles-of-aurora-tab-s514695t7
8,https://www.songsterr.com/a/wsa/ufo-doctor-doctor-c-tab-s514635t0
9,https://www.songsterr.com/a/wsa/coldplay-guitar-tab-s514455t0
10,https://www.songsterr.com/a/wsa/mawinswag-endie-tab-s514388t3
11,https://www.songsterr.com/a/wsa/tab-s514372t4
12,https://www.songsterr.com/a/wsa/tab-s514087t0
13,https://www.songsterr.com/a/wsa/jonathan-petrucelli-song-2-tab-s514068t6
14,https://www.songsterr.com/a/wsa/tab-s514061t0
15,https://www.songsterr.com/a/wsa/seksiseppo02-riff32-tab-s513967t0
16,https://www.songsterr.com/a/wsa/turfburner-white-lie-tab-s513925t1
17,https://www.songsterr.com/a/wsa/3ft-errorstone-1-tab-s513841t0
18,https://www.songsterr.com/a/wsa/metallica-the-shortest-straw-c-tuning-tab-s513705t0
19,https://www.songsterr.com/a/wsa/riff-s-example-groove-metal-riffs-tab-s513647t0
20,https://www.songsterr.com/a/wsa/seksiseppo02-supersecret-tab-s513623t0
21,https://www.songsterr.com/a/wsa/weezer-lullaby-for-wayne-tab-s513610t3
22,https://www.songsterr.com/a/wsa/skull-devil-mn1-tab-s513597t0
23,https://www.songsterr.com/a/wsa/skull-devil-dm1-tab-s513580t0
24,https://www.songsterr.com/a/wsa/seksiseppo02-supersecret-tab-s513565t0
25,https://www.songsterr.com/a/wsa/riff-s-example-groove-metal-tab-s513534t0
26,https://www.songsterr.com/a/wsa/riff-s-example-groove-metal-riffs-tab-s513459t0
27,https://www.songsterr.com/a/wsa/riff-s-example-groove-metal-riffs-tab-s513451t0
28,https://www.songsterr.com/a/wsa/riff-s-example-groove-metal-riff-s-tab-s513438t0
29,https://www.songsterr.com/a/wsa/riff-s-example-groove-metal-riff-s-tab-s513434t0
30,https://www.songsterr.com/a/wsa/weez-testobesto-tab-s513395t1
31,https://www.songsterr.com/a/wsa/seksiseppo02-riff31-tab-s513249t1
32,https://www.songsterr.com/a/wsa/in-the-shadows-total-failure-tab-s513150t6
33,https://www.songsterr.com/a/wsa/gorgoroth-untamed-forces-tab-s512922t1
34,https://www.songsterr.com/a/wsa/seksiseppo02-bandileiri-tab-s512855t4
35,https://www.songsterr.com/a/wsa/between-the-buried-and-me-human-is-hell-another-one-with-love-tab-s512273t0
36,https://www.songsterr.com/a/wsa/pesho-riff-tab-s512189t0
37,https://www.songsterr.com/a/wsa/wisniak-4-krucjata-tab-s512048t0
38,https://www.songsterr.com/a/wsa/king-gizzard-the-lizard-wizard-predator-x-tab-s511676t0
39,https://www.songsterr.com/a/wsa/655-43-4-65-4-tab-s511636t1
40,https://www.songsterr.com/a/wsa/logenery-nemesis-tab-s511449t1
41,https://www.songsterr.com/a/wsa/creation-is-crucifixion-the-allegory-of-the-algorithm-or-how-i-learned-to-stop-worrying-and-love-mimesis-tab-s511336t1
42,https://www.songsterr.com/a/wsa/gorgoroth-dionysian-rite-tab-s510958t6
43,https://www.songsterr.com/a/wsa/brutalizer-tab-s510818t0
44,https://www.songsterr.com/a/wsa/brutalizer-tab-s510755t0
45,https://www.songsterr.com/a/wsa/fucking-fuck-fuck-fuck-the-fuckers-fuck-fuck-tab-s510411t0
46,https://www.songsterr.com/a/wsa/ssadddddd-ddassssssss-tab-s510096t1
47,https://www.songsterr.com/a/wsa/tab-s510016t0
48,https://www.songsterr.com/a/wsa/muth-twice-and-for-all-tab-s509978t0
49,https://www.songsterr.com/a/wsa/xy-jay-in-otherworld-tab-s509836t0
50,https://www.songsterr.com/a/wsa/wisniak-bolt-thrower-style-tab-s509772t1
51,https://www.songsterr.com/a/wsa/bolt-thrower-the-ivth-crusade-with-solo-tab-s509630t1
52,https://www.songsterr.com/a/wsa/tab-s509581t0
53,https://www.songsterr.com/a/wsa/pap-2-tab-s509331t3
54,https://www.songsterr.com/a/wsa/pap-1-tab-s509328t0
55,https://www.songsterr.com/a/wsa/wisniak-sufokacja-gorg-tab-s509327t0
56,https://www.songsterr.com/a/wsa/wisniak-sufokacja-tab-s509326t0
57,https://www.songsterr.com/a/wsa/silence-in-the-summer-the-winter-fireworks-tab-s509299t0
58,https://www.songsterr.com/a/wsa/tardigrade-inferno-the-worst-of-me-tab-s509233t4
59,https://www.songsterr.com/a/wsa/6-114-6-4-4-56-456-4-56-4-65-41-56-1-65-1-56-1-5-456-1-456-1-65-1-4-tab-s509196t0
60,https://www.songsterr.com/a/wsa/carnivore-s-m-d-tab-s508924t0
61,https://www.songsterr.com/a/wsa/black-sabbath-sweet-leaf-v3-tab-s508923t2
62,https://www.songsterr.com/a/wsa/first-fragment-de-chair-et-de-haine-pre-chorus-only-tab-s508841t0
63,https://www.songsterr.com/a/wsa/efe-karatoprak-hardcore-song-17-tab-s508769t0
64,https://www.songsterr.com/a/wsa/menel-nowe-do-nowego-tab-s508766t2
65,https://www.songsterr.com/a/wsa/strokes-under-cover-of-darkness-live-barclays-center-april-2022-tab-s508713t0
66,https://www.songsterr.com/a/wsa/6-45-41-4-6-45-5-46-5-4-tab-s508705t0
67,https://www.songsterr.com/a/wsa/tab-s508704t0
