,0
0,https://www.songsterr.com/a/wsa/sarin-reaper-panzramik-ritez-tab-s514926t0
1,https://www.songsterr.com/a/wsa/sarin-reaper-sarin-reaper-tab-s514919t0
2,https://www.songsterr.com/a/wsa/sarin-reaper-616-tab-s514035t0
3,https://www.songsterr.com/a/wsa/sarin-reaper-infant-burial-tab-s514015t0
4,https://www.songsterr.com/a/wsa/cuucucucucucucuc-cuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu-tab-s513847t2
5,https://www.songsterr.com/a/wsa/immolated-el-turno-de-tu-muerte-tab-s513807t2
6,https://www.songsterr.com/a/wsa/mastodon-sultan-curse-tab-s512909t1
7,https://www.songsterr.com/a/wsa/sarin-reaper-n-g-d-m-tab-s512713t0
8,https://www.songsterr.com/a/wsa/mutilo-instrumental-guitarra-tab-s512704t0
9,https://www.songsterr.com/a/wsa/waldgefluster-im-ebersberger-forst-tab-s511167t5
10,https://www.songsterr.com/a/wsa/sarin-reaper-underworld-chains-tab-s510095t0
11,https://www.songsterr.com/a/wsa/dirty-blood-he-did-not-die-upon-the-cross-tab-s505188t3
12,https://www.songsterr.com/a/wsa/age-dissonance-x-tab-s504422t5
13,https://www.songsterr.com/a/wsa/sleep-dragonaut-d-standard-tab-s504326t3
14,https://www.songsterr.com/a/wsa/sun-makers-deathdoomexample-tab-s502086t0
15,https://www.songsterr.com/a/wsa/thy-serpent-wounds-of-death-tab-s501060t5
16,https://www.songsterr.com/a/wsa/mental-fog-babylon-tab-s497889t5
17,https://www.songsterr.com/a/wsa/chopin-funeral-march-metal-bass-arr-tab-s497818t3
18,https://www.songsterr.com/a/wsa/tab-s497737t7
19,https://www.songsterr.com/a/wsa/death-crystal-mountain-classic-version-tab-s497629t3
20,https://www.songsterr.com/a/wsa/slaver-do-you-wanna-heavy-now-tab-s495942t2
21,https://www.songsterr.com/a/wsa/slaver-tornado-tab-s495699t0
22,https://www.songsterr.com/a/wsa/repentless-bass-slayer-tab-s495581t0
23,https://www.songsterr.com/a/wsa/withering-remains-pianinko-tab-s494709t1
24,https://www.songsterr.com/a/wsa/la-pestilencia-nada-me-obliga-tab-s493492t3
25,https://www.songsterr.com/a/wsa/bobby-prince-e1m5-suspense-tab-s493290t1
26,https://www.songsterr.com/a/wsa/satanakozel-berserk-tab-s490672t0
27,https://www.songsterr.com/a/wsa/jardins-do-jack-plugin-bb-tab-s489709t2
28,https://www.songsterr.com/a/wsa/khonsu-death-of-the-timekeeper-tab-s489584t9
29,https://www.songsterr.com/a/wsa/slaver-maskdance-tab-s488499t6
30,https://www.songsterr.com/a/wsa/artsiom-holubeu-rust-in-peace-bass-medley-megadeth-cover-tab-s486143t1
31,https://www.songsterr.com/a/wsa/artsiom-holubeu-raining-blood-but-bass-slayer-cover-tab-s486142t0
32,https://www.songsterr.com/a/wsa/aephanemer-rage-and-forgiveness-tab-s484986t8
33,https://www.songsterr.com/a/wsa/gummy-joining-pieces-tab-s484918t1
34,https://www.songsterr.com/a/wsa/nothing-else-matters-my-fist-through-your-face-tab-s484359t0
35,https://www.songsterr.com/a/wsa/inquisition-desolate-funeral-chant-bass-added-tab-s484348t1
36,https://www.songsterr.com/a/wsa/pantera-walk-oboe-tab-s482749t2
37,https://www.songsterr.com/a/wsa/mayhem-freezing-moon-bass-arrangement-tab-s482480t1
38,https://www.songsterr.com/a/wsa/ghost-b-c-deus-in-absentia-tab-s482294t3
39,https://www.songsterr.com/a/wsa/gojira-inferno-tab-s481726t1
40,https://www.songsterr.com/a/wsa/fa35rasf-fa35rasf-tab-s481043t2
41,https://www.songsterr.com/a/wsa/inxies-ban1-tab-s480743t4
42,https://www.songsterr.com/a/wsa/earthrising-01-rise-of-the-universe-tab-s478042t8
43,https://www.songsterr.com/a/wsa/burzum-dunkelheit-in-bass-arrangement-by-artem-golubev-tab-s474440t1
44,https://www.songsterr.com/a/wsa/sieros-aw-dopiewo-na-probe-unhappyness-v2-tab-s473983t8
45,https://www.songsterr.com/a/wsa/sleep-dragonaut-in-drop-d-tab-s472056t2
46,https://www.songsterr.com/a/wsa/satanic-version-tab-s471059t5
47,https://www.songsterr.com/a/wsa/khonsu-the-observatory-tab-s470575t5
48,https://www.songsterr.com/a/wsa/khonsu-a-jhator-ascension-tab-s470573t5
49,https://www.songsterr.com/a/wsa/abcellius-prophecy-of-the-forgotten-lands-demo-2-tab-s470000t6
50,https://www.songsterr.com/a/wsa/ellundyr-march-of-imuthes-tab-s468504t3
51,https://www.songsterr.com/a/wsa/dirt-merchant-money-hot-tab-s467974t1
52,https://www.songsterr.com/a/wsa/piano-acuts-tab-s467955t2
