,0
0,https://www.songsterr.com/a/wsa/judson-escape-tab-s515356t5
1,https://www.songsterr.com/a/wsa/august-burns-red-1-16-2011-2021-tab-s515339t4
2,https://www.songsterr.com/a/wsa/richaadeb-bad-apple-ver-2-tab-s515279t1
3,https://www.songsterr.com/a/wsa/untitled-wt3481test-tab-s515271t0
4,https://www.songsterr.com/a/wsa/parkway-drive-wild-eyes-standard-bass-tab-s515244t1
5,https://www.songsterr.com/a/wsa/hoodini-birth-of-de-gruel-tab-s515213t1
6,https://www.songsterr.com/a/wsa/slipknot-prosthetics-studio-version-tab-s515198t3
7,https://www.songsterr.com/a/wsa/parkway-drive-the-greatest-fear-tab-s515168t1
8,https://www.songsterr.com/a/wsa/bullet-for-my-valentine-no-more-tears-to-cry-tab-s515165t1
9,https://www.songsterr.com/a/wsa/petr-valek-test-tab-s515114t2
10,https://www.songsterr.com/a/wsa/galendwagen-tab-s515077t0
11,https://www.songsterr.com/a/wsa/untitled-wt9011-demotest-tab-s515062t4
12,https://www.songsterr.com/a/wsa/noddy-12-tab-s514836t1
13,https://www.songsterr.com/a/wsa/untitled-wt1642-introdemo-tab-s514805t0
14,https://www.songsterr.com/a/wsa/slipknot-the-dying-song-time-to-sing-guitars-only-tab-s514765t1
15,https://www.songsterr.com/a/wsa/lithium-screaming-me-tab-s514732t0
16,https://www.songsterr.com/a/wsa/untitled-dlu-wt-riffs-test-tab-s514730t0
17,https://www.songsterr.com/a/wsa/mayu-maeshima-no-man-s-dawn-tab-s514665t0
18,https://www.songsterr.com/a/wsa/i-prevail-pull-the-plug-chorus-tab-s514599t0
19,https://www.songsterr.com/a/wsa/yehovan-hc2-tab-s514577t1
20,https://www.songsterr.com/a/wsa/skillet-dominion-tab-s514572t0
21,https://www.songsterr.com/a/wsa/orbit-culture-mirrorslave-tab-s514463t0
22,https://www.songsterr.com/a/wsa/orbit-culture-open-eye-tab-s514462t1
23,https://www.songsterr.com/a/wsa/untitled-wt-139-test-tab-s514459t0
24,https://www.songsterr.com/a/wsa/120-tab-s514454t1
25,https://www.songsterr.com/a/wsa/my-perfect-sin-na-kray-zemli-tab-s514284t4
26,https://www.songsterr.com/a/wsa/vlad-i-vadim-roots-tab-s514254t1
27,https://www.songsterr.com/a/wsa/slipknot-the-dying-song-time-to-sing-tab-s514079t5
28,https://www.songsterr.com/a/wsa/fractal-eater-corpse-tab-s514060t0
29,https://www.songsterr.com/a/wsa/bleed-from-within-the-end-of-all-we-know-dropped-b-tab-s514056t1
30,https://www.songsterr.com/a/wsa/frozen-eddie-where-do-we-stand-tab-s514022t1
31,https://www.songsterr.com/a/wsa/isaac-restrepo-redeem-thy-sin-tab-s514006t2
32,https://www.songsterr.com/a/wsa/machine-head-unhall-wed-tab-s513954t3
33,https://www.songsterr.com/a/wsa/cameron-riggenbach-exercises-tab-s513937t0
34,https://www.songsterr.com/a/wsa/motionless-in-white-broadcasting-from-beyond-the-grave-death-inc-tab-s513885t3
35,https://www.songsterr.com/a/wsa/srbrenoob-dancar-na-chuva-metal-cover-tab-s513848t0
36,https://www.songsterr.com/a/wsa/galendwagen-tab-s513801t0
37,https://www.songsterr.com/a/wsa/machine-head-new-resistense-not-full-tab-s513716t2
38,https://www.songsterr.com/a/wsa/i-prevail-one-more-time-outro-tab-s513709t0
39,https://www.songsterr.com/a/wsa/untitled-spstyl3-tab-s513640t0
40,https://www.songsterr.com/a/wsa/damageplan-dime-solo-tab-s513569t0
41,https://www.songsterr.com/a/wsa/fernandinho-dancar-na-chuva-metal-tab-s513554t0
42,https://www.songsterr.com/a/wsa/fernandinho-dancar-na-chuva-metal-tab-s513551t0
43,https://www.songsterr.com/a/wsa/fernandinho-dancar-na-chuva-metal-tab-s513546t0
44,https://www.songsterr.com/a/wsa/fernandinho-dancar-na-chuva-metal-tab-s513545t0
45,https://www.songsterr.com/a/wsa/uverworld-colors-of-the-heart-ver-2-tab-s513443t17
46,https://www.songsterr.com/a/wsa/untitled-1313schei-riff-tab-s513401t0
47,https://www.songsterr.com/a/wsa/damageplan-dime-solo-tab-s513389t0
48,https://www.songsterr.com/a/wsa/naily-tab-s513254t0
49,https://www.songsterr.com/a/wsa/i-prevail-one-more-time-chorus-tab-s513003t0
50,https://www.songsterr.com/a/wsa/i-prevail-one-more-time-chorus-tab-s513000t0
51,https://www.songsterr.com/a/wsa/i-prevail-one-more-time-chorus-tab-s512999t0
52,https://www.songsterr.com/a/wsa/i-prevail-one-more-time-chorus-tab-s512998t0
53,https://www.songsterr.com/a/wsa/parkway-drive-glitch-tab-s512925t0
54,https://www.songsterr.com/a/wsa/untitled-wt1945-tab-s512850t0
55,https://www.songsterr.com/a/wsa/kapn1232-kapn4848-tab-s512841t4
56,https://www.songsterr.com/a/wsa/august-burns-red-invisible-enemy-drums-tab-s512756t1
57,https://www.songsterr.com/a/wsa/untitled-wt5314-tab-s512681t0
58,https://www.songsterr.com/a/wsa/slipknot-siccccc-tab-s512561t3
59,https://www.songsterr.com/a/wsa/disfigured-elegance-the-last-disease-tab-s512456t2
60,https://www.songsterr.com/a/wsa/tab-s512419t1
61,https://www.songsterr.com/a/wsa/synqqq-feat-fit3-tab-s512415t0
62,https://www.songsterr.com/a/wsa/august-burns-red-martyr-bass-tab-s512404t6
63,https://www.songsterr.com/a/wsa/silverstein-our-song-tab-s512371t2
64,https://www.songsterr.com/a/wsa/damageplan-wake-up-tab-s512345t0
65,https://www.songsterr.com/a/wsa/blood-laced-misery-untitled-30-tab-s512337t5
66,https://www.songsterr.com/a/wsa/shredagge-autumn-of-my-steps-tab-s512335t0
67,https://www.songsterr.com/a/wsa/i-prevail-come-and-get-it-tab-s512290t3
68,https://www.songsterr.com/a/wsa/metallica-master-of-puppets-drop-b-tab-s512181t7
69,https://www.songsterr.com/a/wsa/tab-s512093t0
70,https://www.songsterr.com/a/wsa/i-prevail-scars-chorus-tab-s512067t0
71,https://www.songsterr.com/a/wsa/i-prevail-pull-the-plug-tab-s512065t1
72,https://www.songsterr.com/a/wsa/arc-systems-works-love-the-subhuman-self-tab-s512062t0
73,https://www.songsterr.com/a/wsa/xy-jay-the-garden-of-eden-tab-s511907t0
74,https://www.songsterr.com/a/wsa/deftones-rocket-skates-drop-b-tab-s511770t0
75,https://www.songsterr.com/a/wsa/glint-jklewqhncq-tab-s511754t1
76,https://www.songsterr.com/a/wsa/braille-the-dreadman-tab-s511395t0
77,https://www.songsterr.com/a/wsa/electriccover-witd-tab-s511330t1
78,https://www.songsterr.com/a/wsa/slipknot-vendetta-studio-version-tab-s511313t3
79,https://www.songsterr.com/a/wsa/tab-s511308t0
80,https://www.songsterr.com/a/wsa/storm-inside-tab-s511286t2
81,https://www.songsterr.com/a/wsa/destiny-tab-s511277t1
82,https://www.songsterr.com/a/wsa/losthills-moth-tab-s511229t2
83,https://www.songsterr.com/a/wsa/pathaway-i-am-not-your-daughter-i-am-not-your-son-tab-s511040t1
84,https://www.songsterr.com/a/wsa/untitled-wt-827-gui-drm-tab-s511033t0
85,https://www.songsterr.com/a/wsa/pathaway-only-the-beginning-tab-s510949t0
86,https://www.songsterr.com/a/wsa/untitled-wt1512-tab-s510940t0
87,https://www.songsterr.com/a/wsa/xy-jay-what-lies-beyond-strength-tab-s510934t0
88,https://www.songsterr.com/a/wsa/tab-s510924t1
89,https://www.songsterr.com/a/wsa/bleed-from-within-levitate-tab-s510885t0
90,https://www.songsterr.com/a/wsa/bleed-from-within-i-am-damnation-tab-s510884t6
91,https://www.songsterr.com/a/wsa/mick-thomson-2000-soundcheck-riff-tab-s510732t0
92,https://www.songsterr.com/a/wsa/untitled-wt1839-tab-s510609t2
93,https://www.songsterr.com/a/wsa/untitled-strangemusik4-tab-s510475t0
94,https://www.songsterr.com/a/wsa/pocuc-i-luk-pesma2-tab-s510458t0
95,https://www.songsterr.com/a/wsa/uverworld-no-1-v2-tab-s510386t0
96,https://www.songsterr.com/a/wsa/i-the-mighty-lady-of-death-tab-s510298t0
97,https://www.songsterr.com/a/wsa/acid-witch-turntable-terror-tab-s510281t0
98,https://www.songsterr.com/a/wsa/acid-witch-swamp-spells-tab-s510280t1
99,https://www.songsterr.com/a/wsa/acid-witch-nain-rouge-the-red-dwarf-tab-s510279t0
100,https://www.songsterr.com/a/wsa/acid-witch-midnight-mass-tab-s510278t3
101,https://www.songsterr.com/a/wsa/acid-witch-live-forever-tab-s510277t0
102,https://www.songsterr.com/a/wsa/acid-witch-cauldron-cave-tab-s510276t1
103,https://www.songsterr.com/a/wsa/acid-witch-witchblood-cult-tab-s510274t0
104,https://www.songsterr.com/a/wsa/slipknot-solway-firth-guitars-only-tab-s510272t2
105,https://www.songsterr.com/a/wsa/petr-valek-scratch-tab-s510270t0
106,https://www.songsterr.com/a/wsa/slipknot-nero-forte-guitars-only-tab-s510260t0
107,https://www.songsterr.com/a/wsa/slayer-pride-in-prejudice-tab-s510241t0
108,https://www.songsterr.com/a/wsa/slipknot-unsainted-guitars-only-tab-s510221t0
109,https://www.songsterr.com/a/wsa/slipknot-all-out-life-guitars-only-tab-s510190t1
110,https://www.songsterr.com/a/wsa/untitled-cool-piano-tab-s510158t1
111,https://www.songsterr.com/a/wsa/untitled-trioltest940-tab-s510157t0
112,https://www.songsterr.com/a/wsa/untitled-strangemusik3-tab-s510156t1
113,https://www.songsterr.com/a/wsa/lmc-car-dependency-tab-s510121t0
114,https://www.songsterr.com/a/wsa/slipknot-the-negative-one-guitars-only-tab-s510092t1
115,https://www.songsterr.com/a/wsa/slipknot-custer-guitars-only-tab-s510091t1
116,https://www.songsterr.com/a/wsa/rammstein-angst-5-str-bass-tab-s510052t0
117,https://www.songsterr.com/a/wsa/mud-creek-scissos-tab-s510047t0
118,https://www.songsterr.com/a/wsa/tab-s510020t0
119,https://www.songsterr.com/a/wsa/acompanamiento-3-tab-s509939t2
120,https://www.songsterr.com/a/wsa/slipknot-killpop-guitars-only-tab-s509914t0
121,https://www.songsterr.com/a/wsa/untitled-wt1218-tab-s509898t4
122,https://www.songsterr.com/a/wsa/elften-i-never-wanted-tab-s509877t1
123,https://www.songsterr.com/a/wsa/slipknot-aov-guitars-only-tab-s509876t1
124,https://www.songsterr.com/a/wsa/broken-vengeance-true-colors-tab-s509833t0
125,https://www.songsterr.com/a/wsa/anocreate-end-tab-s509832t2
126,https://www.songsterr.com/a/wsa/slipknot-all-hope-is-gone-guitars-only-tab-s509816t0
127,https://www.songsterr.com/a/wsa/untitled-pyanye-razborki-tab-s509751t1
128,https://www.songsterr.com/a/wsa/screamos-slow-and-meaty-tab-s509733t3
129,https://www.songsterr.com/a/wsa/never-opened-doors-tab-s509703t1
130,https://www.songsterr.com/a/wsa/creatures-of-furkahn-purification-tab-s509694t8
131,https://www.songsterr.com/a/wsa/creatures-of-furkahn-dark-tab-s509692t3
132,https://www.songsterr.com/a/wsa/seba-the-homeless-trzeci-final-tab-s509682t1
133,https://www.songsterr.com/a/wsa/faded-away-ltrackw-tab-s509628t0
134,https://www.songsterr.com/a/wsa/faded-away-control-tab-s509599t0
135,https://www.songsterr.com/a/wsa/mayu-maeshima-answer-tab-s509583t0
136,https://www.songsterr.com/a/wsa/xy-jay-spirit-bomba-tab-s509567t0
137,https://www.songsterr.com/a/wsa/untitled-sp-test1002-tab-s509549t0
138,https://www.songsterr.com/a/wsa/db-mtlcore-tab-s509541t3
139,https://www.songsterr.com/a/wsa/luka-nikolic-riff1-tab-s509533t0
140,https://www.songsterr.com/a/wsa/change-of-loyalty-a-perfect-dream-pt-2-tab-s509487t0
141,https://www.songsterr.com/a/wsa/amatory-tab-s509444t0
142,https://www.songsterr.com/a/wsa/losthills-white-rabbit-tab-s509355t0
143,https://www.songsterr.com/a/wsa/162-tab-s509318t1
144,https://www.songsterr.com/a/wsa/braille-incendio-tab-s509259t0
145,https://www.songsterr.com/a/wsa/creatures-of-furkahn-tunnel-tab-s509242t1
146,https://www.songsterr.com/a/wsa/creatures-of-furkahn-dark-city-tab-s509238t10
147,https://www.songsterr.com/a/wsa/profiler-ninety-three-tab-s509167t0
148,https://www.songsterr.com/a/wsa/tab-s509149t0
149,https://www.songsterr.com/a/wsa/emille-s-moonlight-serenade-red-ribbon-tab-s509134t2
150,https://www.songsterr.com/a/wsa/beyond-the-grave-draped-in-black-tab-s509082t4
151,https://www.songsterr.com/a/wsa/motionless-in-white-fatal-tab-s509052t0
152,https://www.songsterr.com/a/wsa/anocreate-tab-s509043t0
153,https://www.songsterr.com/a/wsa/skillet-fire-and-fury-tab-s509040t0
154,https://www.songsterr.com/a/wsa/skillet-falling-in-the-black-tab-s509034t2
155,https://www.songsterr.com/a/wsa/skillet-comatose-live-tab-s509032t3
156,https://www.songsterr.com/a/wsa/skillet-better-than-drugs-intro-comatose-comes-alive-tab-s509029t1
157,https://www.songsterr.com/a/wsa/tab-s508953t1
158,https://www.songsterr.com/a/wsa/condom-of-hate-tab-s508948t0
159,https://www.songsterr.com/a/wsa/silence-in-the-summer-thrown-to-perish-tab-s508833t0
160,https://www.songsterr.com/a/wsa/moonfly-fellhorn-tab-s508788t0
161,https://www.songsterr.com/a/wsa/435n345345n6-345345n345-tab-s508782t0
162,https://www.songsterr.com/a/wsa/5t345t-rt4b34tn345-tab-s508781t1
163,https://www.songsterr.com/a/wsa/456yhnn65y-4n567n567-tab-s508779t0
164,https://www.songsterr.com/a/wsa/three-days-grace-redemption-tab-s508736t1
165,https://www.songsterr.com/a/wsa/zigzag-3-tab-s508722t0
166,https://www.songsterr.com/a/wsa/mechanical-man-ivey-nightmareland-unfinished-demo-tab-s508708t4
167,https://www.songsterr.com/a/wsa/faded-away-tab-s508584t1
168,https://www.songsterr.com/a/wsa/slipknot-snuff-guitars-only-tab-s508529t3
169,https://www.songsterr.com/a/wsa/grimwind-tab-s508507t4
170,https://www.songsterr.com/a/wsa/elften-deep-weaving-aperture-tab-s508496t3
171,https://www.songsterr.com/a/wsa/tab-s508459t2
