,0
0,https://www.songsterr.com/a/wsa/unknown-metalcore-idea-tab-s515363t0
1,https://www.songsterr.com/a/wsa/octopus-montage-my-e-girl-left-me-intro-verse-tab-s515326t3
2,https://www.songsterr.com/a/wsa/yuyoyuppe-palette-tab-s515289t0
3,https://www.songsterr.com/a/wsa/lithium-he-put-a-gun-to-his-head-tab-s515270t0
4,https://www.songsterr.com/a/wsa/in-the-midst-of-grey-song-4-tab-s515248t6
5,https://www.songsterr.com/a/wsa/noddy-17-tab-s515231t0
6,https://www.songsterr.com/a/wsa/negura-bunget-bruiestru-tab-s515224t4
7,https://www.songsterr.com/a/wsa/unnamed-song-2-test-1-tab-s515211t0
8,https://www.songsterr.com/a/wsa/last-anchor-6-tab-s515196t6
9,https://www.songsterr.com/a/wsa/burnout-highway-66-tab-s515182t0
10,https://www.songsterr.com/a/wsa/stain-01animal-remedy-tab-s515180t3
11,https://www.songsterr.com/a/wsa/biomorf-colliding-planets-tab-s515176t0
12,https://www.songsterr.com/a/wsa/apathemy-external-bleeding-tab-s515154t3
13,https://www.songsterr.com/a/wsa/ohohfu9-hoc9yc9y-tab-s515117t0
14,https://www.songsterr.com/a/wsa/jardins-do-jack-festa-tab-s515108t5
15,https://www.songsterr.com/a/wsa/madkid-bring-back-tv-size-tab-s515091t0
16,https://www.songsterr.com/a/wsa/nik-nocturnal-animal-i-have-become-guitar-cover-2020-tab-s515088t3
17,https://www.songsterr.com/a/wsa/last-anchor-2-tab-s515082t0
18,https://www.songsterr.com/a/wsa/afka-afka-tab-s515063t1
19,https://www.songsterr.com/a/wsa/godsmack-straight-out-tab-s515010t1
20,https://www.songsterr.com/a/wsa/last-anchor-tatoo-tab-s515007t3
21,https://www.songsterr.com/a/wsa/last-anchor-1-tab-s514999t3
22,https://www.songsterr.com/a/wsa/electriccover-rs-tab-s514998t0
23,https://www.songsterr.com/a/wsa/unnamed-number-one-tab-s514987t1
24,https://www.songsterr.com/a/wsa/spriggans-5-tab-s514957t1
25,https://www.songsterr.com/a/wsa/lithium-faking-tab-s514910t0
26,https://www.songsterr.com/a/wsa/braille-incendio-dinamico-tab-s514865t1
27,https://www.songsterr.com/a/wsa/diego-ruiz-fuego-norte-tab-s514857t1
28,https://www.songsterr.com/a/wsa/warhound-no-peace-for-me-tab-s514770t1
29,https://www.songsterr.com/a/wsa/lithium-how-do-i-look-tab-s514763t0
30,https://www.songsterr.com/a/wsa/method-to-madness-stranger-roam-tab-s514731t0
31,https://www.songsterr.com/a/wsa/acme-gift-tab-s514659t0
32,https://www.songsterr.com/a/wsa/unnamed-test-3-tab-s514647t1
33,https://www.songsterr.com/a/wsa/crimes-against-the-crown-below-the-hill-tab-s514634t1
34,https://www.songsterr.com/a/wsa/august-burns-red-empire-solo-tab-s514620t3
35,https://www.songsterr.com/a/wsa/sinister-desire-iron-fist-demo-tab-s514606t0
36,https://www.songsterr.com/a/wsa/a-slient-suffering-song-1-tab-s514561t7
37,https://www.songsterr.com/a/wsa/unnamed-test-2-tab-s514540t0
38,https://www.songsterr.com/a/wsa/bring-me-the-horizon-don-t-look-down-featuring-orifice-vulgatron-tab-s514531t0
39,https://www.songsterr.com/a/wsa/efe-karatoprak-pain-tab-s514475t0
40,https://www.songsterr.com/a/wsa/masaki-alive-tab-s514474t2
41,https://www.songsterr.com/a/wsa/spriggans-warden-tab-s514448t1
42,https://www.songsterr.com/a/wsa/end-the-sorrow-blinded-by-lies-tab-s514434t0
43,https://www.songsterr.com/a/wsa/konhard-asredrefffffffffffffffffffffffffyaaaaaaaatombo-tab-s514412t2
44,https://www.songsterr.com/a/wsa/set-to-stun-blackest-night-tab-s514400t0
45,https://www.songsterr.com/a/wsa/gg-proebali-tab-s514376t0
46,https://www.songsterr.com/a/wsa/famous-last-words-searching-for-home-tab-s514347t1
47,https://www.songsterr.com/a/wsa/linkin-park-test-tab-s514286t1
48,https://www.songsterr.com/a/wsa/rage-twenty-one-tab-s514263t2
49,https://www.songsterr.com/a/wsa/rage-virginity-tab-s514259t1
50,https://www.songsterr.com/a/wsa/judson-foyrrew-tab-s514242t1
51,https://www.songsterr.com/a/wsa/doom-vs-the-light-that-would-fade-tab-s514217t0
52,https://www.songsterr.com/a/wsa/doom-vs-the-light-that-would-fade-tab-s514216t2
53,https://www.songsterr.com/a/wsa/tomaco-zirconium-tants-tab-s514190t0
54,https://www.songsterr.com/a/wsa/end-the-sorrow-ds-solo-tab-s514137t0
55,https://www.songsterr.com/a/wsa/end-the-sorrow-dying-soul-tab-s514136t2
56,https://www.songsterr.com/a/wsa/lxb-clovermaid-tab-s514135t0
57,https://www.songsterr.com/a/wsa/otherwise-vegas-girl-tab-s514127t0
58,https://www.songsterr.com/a/wsa/lxb-evil-woods-tab-s514125t0
59,https://www.songsterr.com/a/wsa/lxb-fear-and-flight-tab-s514124t0
60,https://www.songsterr.com/a/wsa/tab-s514111t0
61,https://www.songsterr.com/a/wsa/lumen-fisting-tab-s514098t0
62,https://www.songsterr.com/a/wsa/lumen-tab-s514097t0
63,https://www.songsterr.com/a/wsa/hellkite-drake-abysswalker-tab-s514053t4
64,https://www.songsterr.com/a/wsa/efe-karatoprak-suicidal-song-tab-s514026t0
65,https://www.songsterr.com/a/wsa/electriccover-tab-s514024t0
66,https://www.songsterr.com/a/wsa/efe-karatoprak-hardcore-song-26-tab-s514011t0
67,https://www.songsterr.com/a/wsa/arch-enemy-intermezzo-liberte-drop-c-tab-s513992t0
68,https://www.songsterr.com/a/wsa/brooke-peepeepoopoo-finished-tab-s513956t1
69,https://www.songsterr.com/a/wsa/asdasdasd-sdashrt-tab-s513920t0
70,https://www.songsterr.com/a/wsa/utsu-p-sleepwalk-pxtxsxd-tab-s513893t6
71,https://www.songsterr.com/a/wsa/world-war-me-that-s-so-yesterday-tab-s513880t2
