,0
0,https://www.songsterr.com/a/wsa/crimes-against-the-crown-below-the-hill-tab-s514634t2
1,https://www.songsterr.com/a/wsa/lucydream-shining-knight-tab-s512672t5
2,https://www.songsterr.com/a/wsa/breewes-tab-s510932t2
3,https://www.songsterr.com/a/wsa/breathing-again-my-crusade-tab-s509757t6
4,https://www.songsterr.com/a/wsa/me-custom-toxicity-solo-tab-s508078t4
5,https://www.songsterr.com/a/wsa/system-of-a-down-toxicity-5-str-bass-tab-s506953t4
6,https://www.songsterr.com/a/wsa/untitled-strangemusiky-test-tab-s504585t6
7,https://www.songsterr.com/a/wsa/thotcrime-attack-its-weak-point-for-massive-damage-tab-s502755t9
8,https://www.songsterr.com/a/wsa/mud-creek-punk-shit-tab-s499651t6
9,https://www.songsterr.com/a/wsa/mud-creek-my-everything-tab-s499649t6
10,https://www.songsterr.com/a/wsa/blood-incantation-the-giza-power-plant-tab-s498616t8
11,https://www.songsterr.com/a/wsa/avenged-sevenfold-fiction-no-vocals-tab-s495231t6
12,https://www.songsterr.com/a/wsa/mental-fog-gemini-death-among-the-stars-tab-s494382t1
13,https://www.songsterr.com/a/wsa/slaver-test-she-firefly-of-my-humanity-tab-s491424t5
14,https://www.songsterr.com/a/wsa/biffy-clyro-tiny-indoor-fireworks-tab-s487262t6
15,https://www.songsterr.com/a/wsa/8-tab-s486660t2
16,https://www.songsterr.com/a/wsa/neon-engine-ludens-cover-tab-s483652t9
17,https://www.songsterr.com/a/wsa/marius-mishusong2-unghenimetal-tab-s480241t3
18,https://www.songsterr.com/a/wsa/numetalfmm-numetalmgmgm-tab-s480240t3
19,https://www.songsterr.com/a/wsa/marius-mishusong-unghenimetal-tab-s480136t3
20,https://www.songsterr.com/a/wsa/alloytuber-celntros-tab-s476798t7
21,https://www.songsterr.com/a/wsa/cerdo-gonorreico-esmegma-con-sangre-tab-s476762t1
22,https://www.songsterr.com/a/wsa/noneimbl-testv2song-tab-s470955t3
23,https://www.songsterr.com/a/wsa/unghenimetal2k20-progresivemetal-tab-s470920t3
24,https://www.songsterr.com/a/wsa/rendevous-metalcore-8-tab-s469830t3
25,https://www.songsterr.com/a/wsa/august-burns-red-meridian-ver-2-tab-s469201t9
26,https://www.songsterr.com/a/wsa/fuck-sheet-happens-black-sheep-abr-tab-s468772t6
27,https://www.songsterr.com/a/wsa/sigfrido-idea-de-cover-tab-s467252t3
28,https://www.songsterr.com/a/wsa/well-me-again-another-riff-ideaaaaaaaaa-tab-s467251t3
29,https://www.songsterr.com/a/wsa/balhe-jovokep-tab-s461337t0
30,https://www.songsterr.com/a/wsa/archivum-lazado-vagy-birka-tab-s461336t0
31,https://www.songsterr.com/a/wsa/hate-crew-wss-tab-s461333t0
32,https://www.songsterr.com/a/wsa/hunter-forsberg-izotop-tab-s461269t2
33,https://www.songsterr.com/a/wsa/sundr-some-say-tab-s456640t0
34,https://www.songsterr.com/a/wsa/chuck-you-farlie-new-song-idea-tab-s453130t4
35,https://www.songsterr.com/a/wsa/bad-wolves-zombie-tab-s453103t6
36,https://www.songsterr.com/a/wsa/rammstein-radio-tab-s451741t6
37,https://www.songsterr.com/a/wsa/sum-41-a-murder-of-crows-tab-s448328t0
38,https://www.songsterr.com/a/wsa/blessthefall666-asdasd-tab-s447486t2
39,https://www.songsterr.com/a/wsa/eye-of-violence-living-in-the-shadow-tab-s446611t2
40,https://www.songsterr.com/a/wsa/member-8-amnesia-5-string-bass-version-tab-s444950t7
41,https://www.songsterr.com/a/wsa/member-8-amnesia-tab-s444495t7
42,https://www.songsterr.com/a/wsa/vete-a-la-versh-perra-el-musical-tab-s439650t2
43,https://www.songsterr.com/a/wsa/novelists-heal-the-wound-tab-s438343t2
44,https://www.songsterr.com/a/wsa/waldgefluster-graustufen-novembertage-tab-s437097t6
45,https://www.songsterr.com/a/wsa/ivariis-nol-tab-s436136t2
46,https://www.songsterr.com/a/wsa/ivariis-onlzz-tab-s436130t3
47,https://www.songsterr.com/a/wsa/used-this-fire-tab-s435974t6
48,https://www.songsterr.com/a/wsa/biffy-clyro-animal-style-tab-s432583t8
49,https://www.songsterr.com/a/wsa/gilang-fiction-tab-s432438t8
50,https://www.songsterr.com/a/wsa/whoabots-shadow-boy-tab-s425382t14
51,https://www.songsterr.com/a/wsa/poison-the-well-a-the-view-from-here-is-b-a-brick-wall-tab-s419936t4
52,https://www.songsterr.com/a/wsa/red-fang-throw-up-tab-s418810t2
53,https://www.songsterr.com/a/wsa/red-fang-doen-tab-s418808t2
54,https://www.songsterr.com/a/wsa/destrage-backdoor-epoque-tab-s415287t2
55,https://www.songsterr.com/a/wsa/black-bomb-a-you-got-the-power-tab-s414918t0
56,https://www.songsterr.com/a/wsa/ayreon-side-effects-tab-s414382t7
57,https://www.songsterr.com/a/wsa/secret-and-whisper-you-are-familiar-tab-s413570t9
58,https://www.songsterr.com/a/wsa/electrowaltz-weloyet-tab-s413123t1
59,https://www.songsterr.com/a/wsa/fightstar-murder-all-over-tab-s410303t10
60,https://www.songsterr.com/a/wsa/thrice-music-box-tab-s410258t5
61,https://www.songsterr.com/a/wsa/enter-shikari-rat-race-tab-s408507t3
62,https://www.songsterr.com/a/wsa/enter-shikari-gandhi-mate-gandhi-tab-s408505t2
63,https://www.songsterr.com/a/wsa/enter-shikari-the-jester-tab-s408503t9
64,https://www.songsterr.com/a/wsa/ntm-k53-tab-s407316t1
65,https://www.songsterr.com/a/wsa/marmozets-weird-and-wonderful-version-2-tab-s406245t4
66,https://www.songsterr.com/a/wsa/patrick-doyle-frank-dies-tab-s405013t2
67,https://www.songsterr.com/a/wsa/lower-than-atlantis-here-we-go-tab-s403440t5
68,https://www.songsterr.com/a/wsa/lower-than-atlantis-here-we-go-tab-s403439t5
69,https://www.songsterr.com/a/wsa/bullet-for-my-valentine-venom-tab-s401158t6
70,https://www.songsterr.com/a/wsa/deathember-unending-thirst-tab-s400661t1
71,https://www.songsterr.com/a/wsa/deathember-quietly-tab-s400656t2
72,https://www.songsterr.com/a/wsa/coralies-mi-valor-contra-medusa-tab-s399249t2
73,https://www.songsterr.com/a/wsa/royal-blood-little-monster-tab-s396454t2
74,https://www.songsterr.com/a/wsa/converge-sadness-comes-home-tab-s394774t3
75,https://www.songsterr.com/a/wsa/escape-the-fate-live-fast-die-beautiful-tab-s393650t4
76,https://www.songsterr.com/a/wsa/max-sullivan-eots-forsaken-world-tab-s393156t7
77,https://www.songsterr.com/a/wsa/bait-sermon-tab-s392387t1
78,https://www.songsterr.com/a/wsa/viii-tab-s389326t0
