,0
0,https://www.songsterr.com/a/wsa/dance-gavin-dance-polka-dot-dobbins-tab-s515362t0
1,https://www.songsterr.com/a/wsa/steve-hansen-giorno-s-theme-jojo-s-bizarre-adventure-golden-wind-ost-tab-s515335t0
2,https://www.songsterr.com/a/wsa/shawn-cochran-total-drama-island-drop-d-tab-s515330t1
3,https://www.songsterr.com/a/wsa/deco-27-feat-hatsune-miku-hibana-in-d-drop-tab-s515323t5
4,https://www.songsterr.com/a/wsa/misc-computer-games-team-fortress-2-medic-tab-s515310t4
5,https://www.songsterr.com/a/wsa/akiakane-bye-baby-sayonara-tab-s515305t0
6,https://www.songsterr.com/a/wsa/wallaxe-elisf-inger-tab-s515291t2
7,https://www.songsterr.com/a/wsa/noddy-20-tab-s515277t0
8,https://www.songsterr.com/a/wsa/wyrmura-upchucktempo-gp5-tab-s515250t2
9,https://www.songsterr.com/a/wsa/noddy-19-tab-s515232t4
10,https://www.songsterr.com/a/wsa/noddy-18-tab-s515229t0
11,https://www.songsterr.com/a/wsa/d-dixon-sunflower-tab-s515206t3
12,https://www.songsterr.com/a/wsa/west-dancing-line-tab-s515191t0
13,https://www.songsterr.com/a/wsa/porcupine-tree-rats-return-tab-s515178t4
14,https://www.songsterr.com/a/wsa/noddy-16-tab-s515169t1
15,https://www.songsterr.com/a/wsa/wallaxe-papa-tab-s515121t0
16,https://www.songsterr.com/a/wsa/saint-asonia-better-late-than-never-tab-s515118t3
17,https://www.songsterr.com/a/wsa/snougy-metallica-song-tab-s515047t0
18,https://www.songsterr.com/a/wsa/snougy-posthardcore-breakdown-lol-tab-s515014t0
19,https://www.songsterr.com/a/wsa/outside-city-limits-community-feel-tab-s515013t0
20,https://www.songsterr.com/a/wsa/outlaw-prison-tab-s515008t1
21,https://www.songsterr.com/a/wsa/drop-d-tab-s515001t4
22,https://www.songsterr.com/a/wsa/weywot-carmel-tab-s515000t0
23,https://www.songsterr.com/a/wsa/issizproject-issizinsark-lar-tab-s514997t2
24,https://www.songsterr.com/a/wsa/metallica-sad-but-true-original-e-bass-tab-s514954t0
25,https://www.songsterr.com/a/wsa/scremter-cool-song-tab-s514951t4
26,https://www.songsterr.com/a/wsa/noddy-15-tab-s514941t1
27,https://www.songsterr.com/a/wsa/slump-tender-tab-s514940t0
28,https://www.songsterr.com/a/wsa/my-anarchist-angel-200-bpm-ay-no-tab-s514868t2
29,https://www.songsterr.com/a/wsa/sleepwalking-bring-me-the-horizon-tab-s514842t0
30,https://www.songsterr.com/a/wsa/tab-s514820t2
31,https://www.songsterr.com/a/wsa/state-champs-dead-and-gone-tab-s514817t4
32,https://www.songsterr.com/a/wsa/a-day-to-remember-if-i-leave-tab-s514810t1
33,https://www.songsterr.com/a/wsa/luisxvilp811-l-016-tab-s514736t2
