,0
0,https://www.songsterr.com/a/wsa/zigzag-nos-volveremos-a-encontrar-tab-s514684t2
1,https://www.songsterr.com/a/wsa/division-new-babuyna-tab-s514570t8
2,https://www.songsterr.com/a/wsa/mental-fog-for-whom-the-bell-tolls-tab-s513919t0
3,https://www.songsterr.com/a/wsa/me-random-solo-fifteen-tab-s513498t2
4,https://www.songsterr.com/a/wsa/me-random-solo-fifteen-tab-s513497t2
5,https://www.songsterr.com/a/wsa/me-random-solo-fifteen-tab-s513496t2
6,https://www.songsterr.com/a/wsa/limbezz-new-riff-demo-tab-s512635t8
7,https://www.songsterr.com/a/wsa/limbezz-new-rif-demo-tab-s512311t0
8,https://www.songsterr.com/a/wsa/mental-five-for-whom-the-bell-tolls-metallica-cover-tab-s512203t0
9,https://www.songsterr.com/a/wsa/mental-five-rain-beatles-cover-tab-s510989t0
10,https://www.songsterr.com/a/wsa/chemical-brothers-let-forever-be-with-6-string-bass-tab-tab-s510450t1
11,https://www.songsterr.com/a/wsa/jilstrom-test-tab-s510379t3
12,https://www.songsterr.com/a/wsa/me-obscure-solo-1-tab-s510269t3
13,https://www.songsterr.com/a/wsa/me-obscure-piano-1-tab-s510130t3
14,https://www.songsterr.com/a/wsa/me-random-solo-eleven-violin-tab-s510082t2
15,https://www.songsterr.com/a/wsa/me-random-solo-eleven-piano-tab-s510081t2
16,https://www.songsterr.com/a/wsa/me-random-solo-eleven-harpsichord-tab-s509643t2
17,https://www.songsterr.com/a/wsa/slaver-buy-night-tab-s508403t3
18,https://www.songsterr.com/a/wsa/a-negative-regenerative-pheasant-heaven-feels-tab-s507267t1
19,https://www.songsterr.com/a/wsa/pesho-za-koncerta-1-tab-s506096t2
20,https://www.songsterr.com/a/wsa/shig-goose-9-tab-s504701t7
21,https://www.songsterr.com/a/wsa/beatles-come-together-in-key-of-c-tab-s502668t1
22,https://www.songsterr.com/a/wsa/mental-fog-resuscitation-tab-s502576t6
23,https://www.songsterr.com/a/wsa/yoshiya-terayama-voltaic-black-knight-cavaliere-angelo-tab-s500329t1
24,https://www.songsterr.com/a/wsa/lyn-colors-flying-high-persona-5-royal-tab-s500235t7
25,https://www.songsterr.com/a/wsa/cum-laudes-bass-album-opener-tab-s499507t2
26,https://www.songsterr.com/a/wsa/slaver-be-nothing-tab-s498778t4
27,https://www.songsterr.com/a/wsa/cryoshell-face-me-tab-s497758t8
28,https://www.songsterr.com/a/wsa/rareware-angry-aztec-tab-s497335t1
29,https://www.songsterr.com/a/wsa/devandal-culos666-tab-s497177t5
30,https://www.songsterr.com/a/wsa/muse-stockholm-syndrome-horsemeat-remake-tab-s496982t4
31,https://www.songsterr.com/a/wsa/avenged-sevenfold-roman-sky-ver-2-tab-s496335t7
32,https://www.songsterr.com/a/wsa/avenged-sevenfold-fiction-no-vocals-tab-s495231t0
33,https://www.songsterr.com/a/wsa/dum-dum-girls-evil-blooms-tab-s489829t2
34,https://www.songsterr.com/a/wsa/limbezz-demo-11-07-21-tab-s487728t5
35,https://www.songsterr.com/a/wsa/max-coveri-running-in-the-90s-tab-s485458t5
36,https://www.songsterr.com/a/wsa/black-silence-dance-of-ash-tab-s485298t12
37,https://www.songsterr.com/a/wsa/muse-the-small-print-horsemeat-remake-tab-s484509t2
38,https://www.songsterr.com/a/wsa/luisxvilp811-l-032-tab-s484382t3
39,https://www.songsterr.com/a/wsa/digimon-human-after-all-l-academie-dats-data-squad-generique-tab-s484312t4
40,https://www.songsterr.com/a/wsa/avenged-sevenfold-afterlife-v2-tab-s483184t6
41,https://www.songsterr.com/a/wsa/muse-new-born-ver7-tab-s480850t6
42,https://www.songsterr.com/a/wsa/black-silence-black-metal-tab-s479392t12
43,https://www.songsterr.com/a/wsa/muse-plug-in-baby-drums-tab-s478427t0
44,https://www.songsterr.com/a/wsa/quaqua-rain-tab-s478424t6
45,https://www.songsterr.com/a/wsa/yrwenn-glaz-twenty-one-pilots-stressed-out-tab-s477954t5
46,https://www.songsterr.com/a/wsa/trifasica-otra-que-no-sabemos-xd-tab-s477288t1
47,https://www.songsterr.com/a/wsa/tiny-moving-parts-caution-ver-3-tab-s475685t5
48,https://www.songsterr.com/a/wsa/concepts-groove-tab-s475299t2
49,https://www.songsterr.com/a/wsa/melvins-night-goat-tab-s472129t2
50,https://www.songsterr.com/a/wsa/saint-asonia-flawed-design-tab-s471644t8
51,https://www.songsterr.com/a/wsa/f-f2-tab-s471142t1
52,https://www.songsterr.com/a/wsa/f-f1-tab-s471137t1
53,https://www.songsterr.com/a/wsa/sanrio-aggretsuko-opening-theme-tab-s471107t4
54,https://www.songsterr.com/a/wsa/rendevous-schism-cover-tab-s468645t4
55,https://www.songsterr.com/a/wsa/boris-de-spinnemeule-tlsbr-tab-s467810t1
56,https://www.songsterr.com/a/wsa/rendevous-metalcore-finale-tab-s466380t4
57,https://www.songsterr.com/a/wsa/fart-cancion-en-drop-tab-s465387t3
58,https://www.songsterr.com/a/wsa/altered-beast-i-king-gizzard-and-the-lizard-wizard-tab-s465364t5
59,https://www.songsterr.com/a/wsa/rendevous-shape-of-you-original-tab-s462467t2
60,https://www.songsterr.com/a/wsa/hunter-forsberg-tab-s461303t7
61,https://www.songsterr.com/a/wsa/combustible-edison-a-millionaire-s-holiday-tab-s461084t0
62,https://www.songsterr.com/a/wsa/9kt-bre-2-tab-s459754t0
63,https://www.songsterr.com/a/wsa/blizzard-diablo-2-rogue-tab-s459238t0
64,https://www.songsterr.com/a/wsa/bdubjowizzle-jberg04-tab-s458861t0
65,https://www.songsterr.com/a/wsa/fikko-xd-1-tab-s454943t5
