,0
0,https://www.songsterr.com/a/wsa/elder-in-procession-tab-s512970t6
1,https://www.songsterr.com/a/wsa/stigmata-tab-s512540t2
2,https://www.songsterr.com/a/wsa/keyan-grey-drop-a-converted-because-my-scale-length-wont-let-me-go-lower-tab-s509148t3
3,https://www.songsterr.com/a/wsa/keyan-grey-tab-s509146t3
4,https://www.songsterr.com/a/wsa/hmkids-gjkjdbyf-gtcyb-vrblc-tab-s497411t3
5,https://www.songsterr.com/a/wsa/otto-1-tab-s496246t0
6,https://www.songsterr.com/a/wsa/tab-s496191t3
7,https://www.songsterr.com/a/wsa/fleks-abobius-tab-s495818t3
8,https://www.songsterr.com/a/wsa/14888-22888-tab-s495807t3
9,https://www.songsterr.com/a/wsa/hmkids-tab-s495640t3
10,https://www.songsterr.com/a/wsa/high-track-speed-tab-s488148t1
11,https://www.songsterr.com/a/wsa/limbezz-demo-11-07-21-tab-s487728t0
12,https://www.songsterr.com/a/wsa/white-lies-bigger-than-us-tab-s486554t1
13,https://www.songsterr.com/a/wsa/limbezz-tab-s485608t1
14,https://www.songsterr.com/a/wsa/luca-stricagnoli-the-showman-tab-s485398t0
15,https://www.songsterr.com/a/wsa/eddie-van-der-meer-idontwannabeyouanymore-tab-s483413t0
16,https://www.songsterr.com/a/wsa/yrwenn-glaz-clean-bandit-symphony-feat-zara-larsson-tab-s478648t0
17,https://www.songsterr.com/a/wsa/strapping-young-lad-bring-on-the-young-tab-s477860t1
18,https://www.songsterr.com/a/wsa/burnout-syndromes-good-morning-world-dr-stone-op-fingerstyle-tab-s477262t0
19,https://www.songsterr.com/a/wsa/steve-hansen-centimeter-tab-s475627t0
20,https://www.songsterr.com/a/wsa/ce2ca77de218a4b8168ac40a898db6d2-ce2ca77de218a4b8168ac40a898db6d2-tab-s475341t3
21,https://www.songsterr.com/a/wsa/eddie-van-der-meer-dororo-op-tab-s474097t0
22,https://www.songsterr.com/a/wsa/eddie-van-der-meer-flashlight-tab-s474095t0
23,https://www.songsterr.com/a/wsa/eddie-van-der-meer-sincerely-tab-s474094t0
24,https://www.songsterr.com/a/wsa/eddie-van-der-meer-your-reality-tab-s474093t0
25,https://www.songsterr.com/a/wsa/eddie-van-der-meer-perfect-tab-s474092t0
26,https://www.songsterr.com/a/wsa/eddie-van-der-meer-castle-on-the-hill-tab-s474091t0
27,https://www.songsterr.com/a/wsa/eddie-van-der-meer-wolves-tab-s474084t0
28,https://www.songsterr.com/a/wsa/eddie-van-der-meer-symphony-tab-s474082t0
29,https://www.songsterr.com/a/wsa/eddie-van-der-meer-sora-ni-utaeba-tab-s474071t0
30,https://www.songsterr.com/a/wsa/ghost-atlas-legs-tab-s469333t2
31,https://www.songsterr.com/a/wsa/d-wolfe-post-rock-tab-s468595t0
32,https://www.songsterr.com/a/wsa/unknown-supernicore-tab-s465720t1
33,https://www.songsterr.com/a/wsa/saltwort-some-death-metal-shittt-riff1-tab-s464267t0
34,https://www.songsterr.com/a/wsa/ft-17-l-armee-des-taupes-tab-s462373t2
35,https://www.songsterr.com/a/wsa/our-broken-souls-fatal-fantasy-uncompleted-tab-s456937t0
36,https://www.songsterr.com/a/wsa/viagz-our-live-tab-s456210t3
37,https://www.songsterr.com/a/wsa/devin-townsend-singularity-tab-s456158t1
38,https://www.songsterr.com/a/wsa/devin-townsend-project-rejoice-tab-s455049t1
39,https://www.songsterr.com/a/wsa/strapping-young-lad-we-ride-tab-s451161t1
40,https://www.songsterr.com/a/wsa/clannad-spring-wind-tab-s451134t0
41,https://www.songsterr.com/a/wsa/devin-townsend-project-into-the-sun-tab-s450782t2
42,https://www.songsterr.com/a/wsa/sadnessik-gfjgj-tab-s450568t0
43,https://www.songsterr.com/a/wsa/sadnessik-gfjgj-tab-s450567t1
44,https://www.songsterr.com/a/wsa/devin-townsend-stagnant-tab-s450211t1
45,https://www.songsterr.com/a/wsa/strapping-young-lad-in-the-rainy-season-tab-s448675t0
46,https://www.songsterr.com/a/wsa/spieler-the-killer-traitor-tab-s448022t0
47,https://www.songsterr.com/a/wsa/devin-townsend-offer-your-light-tab-s447208t0
48,https://www.songsterr.com/a/wsa/yo-just-a-weird-thin-1-tab-s446418t0
