,0
0,https://www.songsterr.com/a/wsa/misc-computer-games-team-fortress-2-medic-tab-s515310t10
1,https://www.songsterr.com/a/wsa/jose-madero-noche-de-baile-tab-s515299t2
2,https://www.songsterr.com/a/wsa/poppy-playtime-it-s-playtime-guitar-version-tab-s515276t5
3,https://www.songsterr.com/a/wsa/poppy-playtime-chapter-1-it-s-playtime-tab-s515275t5
4,https://www.songsterr.com/a/wsa/maneskin-supermodel-tab-s515267t1
5,https://www.songsterr.com/a/wsa/two-steps-from-hell-victory-piano-tab-s515183t1
6,https://www.songsterr.com/a/wsa/martin-odonnell-covenant-dance-guitar-tab-s515087t1
7,https://www.songsterr.com/a/wsa/sex-pistols-friggin-in-the-riggin-tab-s515021t1
8,https://www.songsterr.com/a/wsa/just-dance-x-red-already-over-tab-s514949t6
9,https://www.songsterr.com/a/wsa/s3rl-mtc-masterbate-to-cartoons-tab-s514922t2
10,https://www.songsterr.com/a/wsa/prueba-de-ierfda-a-tab-s514881t4
11,https://www.songsterr.com/a/wsa/carie-carie-tab-s514841t8
12,https://www.songsterr.com/a/wsa/dey-john-smth-long-tab-s514824t3
13,https://www.songsterr.com/a/wsa/synsnake-prism-tab-s514499t8
14,https://www.songsterr.com/a/wsa/efe-karatoprak-pain-tab-s514475t1
15,https://www.songsterr.com/a/wsa/primal-karnage-selected-for-extinction-tab-s514366t14
16,https://www.songsterr.com/a/wsa/wooden-people-self-titled-pax-romana-tab-s514336t11
17,https://www.songsterr.com/a/wsa/wooden-people-self-titled-sonata-in-c-major-tab-s514335t12
18,https://www.songsterr.com/a/wsa/tab-s514320t5
19,https://www.songsterr.com/a/wsa/tk-from-ling-tosite-sigure-katharsis-tab-s514312t3
20,https://www.songsterr.com/a/wsa/rage-fading-hours-tab-s514260t6
21,https://www.songsterr.com/a/wsa/flemjablorg-untitled-viii-tab-s514219t0
22,https://www.songsterr.com/a/wsa/evanescence-better-without-you-tab-s514164t0
23,https://www.songsterr.com/a/wsa/scorpions-wind-of-change-rofl-version-new-voice-guitar-tab-s513908t9
24,https://www.songsterr.com/a/wsa/pretty-little-fake-flashbacks-tab-s513876t3
25,https://www.songsterr.com/a/wsa/tab-s513796t4
26,https://www.songsterr.com/a/wsa/28-days-later-in-a-heartbeat-metal-cover-tab-s513669t9
27,https://www.songsterr.com/a/wsa/28-days-later-in-the-house-in-a-heartbeat-metal-cover-tab-s513668t9
28,https://www.songsterr.com/a/wsa/alloytuber-cry-in-the-abyss-part-3-tab-s513630t2
29,https://www.songsterr.com/a/wsa/jean-luc-hoareau-first-short-piece-ever-written-tab-s513625t5
30,https://www.songsterr.com/a/wsa/kirpich-2-2-5-tab-s513609t4
31,https://www.songsterr.com/a/wsa/limbezz-mog2-tab-s513567t4
32,https://www.songsterr.com/a/wsa/division-new-tab-s513563t4
33,https://www.songsterr.com/a/wsa/limbezz-20-tab-s513562t4
34,https://www.songsterr.com/a/wsa/limbezz-20-tab-s513560t4
35,https://www.songsterr.com/a/wsa/limbezz-23232323-tab-s513559t4
36,https://www.songsterr.com/a/wsa/limbezz-2022-tab-s513558t4
37,https://www.songsterr.com/a/wsa/limbezz-1-tab-s513557t4
38,https://www.songsterr.com/a/wsa/alloytuber-cry-in-the-abyss-part-3-tab-s513494t2
39,https://www.songsterr.com/a/wsa/tab-s513295t4
40,https://www.songsterr.com/a/wsa/avtosport-pozhaluysta-tol-ko-ne-domoy-tab-s513288t4
41,https://www.songsterr.com/a/wsa/tab-s513262t4
42,https://www.songsterr.com/a/wsa/tab-s513260t4
43,https://www.songsterr.com/a/wsa/tab-s512848t5
44,https://www.songsterr.com/a/wsa/meme-school-truebass-test-tab-s512814t1
45,https://www.songsterr.com/a/wsa/meme-school-efftest-2-tab-s512812t7
46,https://www.songsterr.com/a/wsa/meme-school-efftest-1-tab-s512811t7
47,https://www.songsterr.com/a/wsa/meme-school-syntest-tab-s512810t5
48,https://www.songsterr.com/a/wsa/koji-kondo-super-mario-world-game-over-tab-s512701t1
49,https://www.songsterr.com/a/wsa/cekmecedeki-piller-babannemin-duburu-tab-s512682t2
50,https://www.songsterr.com/a/wsa/red-hot-chili-peppers-californication-live-tab-s512594t3
51,https://www.songsterr.com/a/wsa/red-hot-chili-peppers-around-the-world-live-tab-s512588t0
52,https://www.songsterr.com/a/wsa/tab-s512445t1
53,https://www.songsterr.com/a/wsa/muse-hysteria-colbertfest-2023-tab-s512340t0
54,https://www.songsterr.com/a/wsa/co-full-tab-s512280t1
55,https://www.songsterr.com/a/wsa/genesis-harold-the-barre-tab-s512238t3
56,https://www.songsterr.com/a/wsa/dd-dd-erup-bass-tapping-tab-s512232t1
57,https://www.songsterr.com/a/wsa/devil-cross-dirty-diana-tab-s512118t6
58,https://www.songsterr.com/a/wsa/confession-session-red-pill-tab-s512088t5
59,https://www.songsterr.com/a/wsa/art-of-insanity-asdorag-tab-s511611t2
60,https://www.songsterr.com/a/wsa/not-meshuggah-stinguu-tab-s511589t1
61,https://www.songsterr.com/a/wsa/nickelback-home-tab-s511536t2
62,https://www.songsterr.com/a/wsa/tommy-sparks-smooth-criminal-tab-s511528t5
63,https://www.songsterr.com/a/wsa/2-tab-s511299t3
64,https://www.songsterr.com/a/wsa/longest-johns-wellerman-official-tab-s511267t4
65,https://www.songsterr.com/a/wsa/bl4ck-dr4g0n-the-final-countdown-tab-s511182t8
66,https://www.songsterr.com/a/wsa/fng-tunnel-rat-2022-tab-s511177t2
67,https://www.songsterr.com/a/wsa/eric-clapton-wonderful-tonigth-tab-s511171t0
68,https://www.songsterr.com/a/wsa/blank-signs-entity-two-tab-s511097t8
69,https://www.songsterr.com/a/wsa/mental-fog-summertime-blues-tab-s511093t0
70,https://www.songsterr.com/a/wsa/tom-donahue-lisztomania-tab-s511057t5
71,https://www.songsterr.com/a/wsa/bleed-from-within-levitate-tab-s510885t16
72,https://www.songsterr.com/a/wsa/bkmz-popsik-tab-s510637t4
73,https://www.songsterr.com/a/wsa/tab-s510573t5
74,https://www.songsterr.com/a/wsa/lorna-shore-sun-eater-tab-s510139t13
75,https://www.songsterr.com/a/wsa/cliff-burton-cliff-burton-solo-from-the-stone-san-francisco-tabbed-out-by-andriy-vasylenko-tab-s509884t0
76,https://www.songsterr.com/a/wsa/creatures-of-furkahn-hope-tab-s509695t6
77,https://www.songsterr.com/a/wsa/alavantrum-aggression-tab-s509400t7
78,https://www.songsterr.com/a/wsa/zigzag-prueba-tab-s509386t2
79,https://www.songsterr.com/a/wsa/dd-dd-copie-tab-s509350t4
80,https://www.songsterr.com/a/wsa/goodbye-angels-red-hot-chili-peppers-tab-s509313t5
81,https://www.songsterr.com/a/wsa/glowen-chocolate-tab-s509308t6
82,https://www.songsterr.com/a/wsa/tesuto-i-h-e-a-r-y-o-u-b-r-e-a-t-h-e-tab-s509257t3
83,https://www.songsterr.com/a/wsa/creatures-of-furkahn-creature-5-tab-s509249t9
84,https://www.songsterr.com/a/wsa/creatures-of-furkahn-swan-tab-s509240t10
85,https://www.songsterr.com/a/wsa/meme-school-bass-tests-tab-s509175t3
86,https://www.songsterr.com/a/wsa/mental-five-summertime-blues-tab-s509007t0
87,https://www.songsterr.com/a/wsa/j-s-bach-bwv-971-italian-concerto-tab-s508678t1
88,https://www.songsterr.com/a/wsa/bayless-game-over-tab-s508389t6
89,https://www.songsterr.com/a/wsa/sergswfesfwesfsefsefes-tab-s508383t2
90,https://www.songsterr.com/a/wsa/mental-five-drought-tab-s508333t0
91,https://www.songsterr.com/a/wsa/mental-five-golden-brown-stranglers-cover-tab-s508329t3
92,https://www.songsterr.com/a/wsa/mental-five-mono-no-aware-tab-s508324t3
93,https://www.songsterr.com/a/wsa/l-a-b-t-p-tab-s508134t4
94,https://www.songsterr.com/a/wsa/instrumental-tab-s507995t7
95,https://www.songsterr.com/a/wsa/kurb-bleeding-tab-s507975t3
96,https://www.songsterr.com/a/wsa/max-romeo-chase-the-devil-tab-s507867t2
97,https://www.songsterr.com/a/wsa/slaver-scorpion-tab-s507836t3
98,https://www.songsterr.com/a/wsa/lego-boy-the-return-2-tab-s507759t5
99,https://www.songsterr.com/a/wsa/the-call-of-ktulu-bass-intro-3-tab-s507732t6
