,0
0,https://www.songsterr.com/a/wsa/queens-of-the-stone-age-no-one-knows-tab-s17108t1
1,https://www.songsterr.com/a/wsa/van-halen-eruption-tab-s92811t1
2,https://www.songsterr.com/a/wsa/in-flames-zombie-inc-tab-s9809t1
3,https://www.songsterr.com/a/wsa/anco-behind-the-world-tab-s853t5
4,https://www.songsterr.com/a/wsa/booxras-the-forgotten-melody-tab-s3331t0
5,https://www.songsterr.com/a/wsa/braveheart-before-execution-tab-s3298t4
6,https://www.songsterr.com/a/wsa/brou-absent-tab-s3075t0
7,https://www.songsterr.com/a/wsa/competition-5-rhapsody-in-mauve-tab-s4389t3
8,https://www.songsterr.com/a/wsa/composers-of-msb-adrenalin-tab-s3740t0
9,https://www.songsterr.com/a/wsa/composers-of-msb-absent-tab-s4854t1
10,https://www.songsterr.com/a/wsa/composers-of-msb-thrash-tab-s3920t0
11,https://www.songsterr.com/a/wsa/composers-of-msb-undefined-tab-s3967t2
12,https://www.songsterr.com/a/wsa/dayeth-running-the-summit-tab-s5827t2
13,https://www.songsterr.com/a/wsa/dream-catchers-serpentine-tab-s6309t6
14,https://www.songsterr.com/a/wsa/competition-5-blank-stare-into-darkness-tab-s4706t1
15,https://www.songsterr.com/a/wsa/nickelback-flat-on-the-floor-tab-s9495t0
16,https://www.songsterr.com/a/wsa/heavy-competition-12-troops-of-fear-tab-s9478t0
17,https://www.songsterr.com/a/wsa/heavy-competition-7-gfjj-tab-s9405t3
18,https://www.songsterr.com/a/wsa/heavy-competition-7-twilight-of-new-world-tab-s8986t1
19,https://www.songsterr.com/a/wsa/heavy-competition-7-genocide-license-tab-s9092t1
20,https://www.songsterr.com/a/wsa/hunguy-from-time-immemorial-tab-s9306t2
21,https://www.songsterr.com/a/wsa/hunguy-rays-of-the-pagan-moon-tab-s8998t0
22,https://www.songsterr.com/a/wsa/judgement-day-slow-suffering-tab-s10670t4
23,https://www.songsterr.com/a/wsa/justice-future-oppressions-tab-s10590t1
24,https://www.songsterr.com/a/wsa/anal-krieger-karo-ver-blutet-tab-s11393t0
25,https://www.songsterr.com/a/wsa/anal-krieger-karo-wird-vergewaltigt-tab-s11115t1
26,https://www.songsterr.com/a/wsa/kyuss-demon-cleaner-tab-s10917t2
27,https://www.songsterr.com/a/wsa/kyuss-molten-universe-tab-s11238t1
28,https://www.songsterr.com/a/wsa/kyuss-conan-troutman-tab-s11086t3
29,https://www.songsterr.com/a/wsa/kyuss-allen-s-wrench-tab-s11153t0
30,https://www.songsterr.com/a/wsa/kyuss-whitewater-tab-s11074t0
31,https://www.songsterr.com/a/wsa/megaman-x3-intro-tab-s13135t1
32,https://www.songsterr.com/a/wsa/moranon-nightstalker-tab-s13339t1
33,https://www.songsterr.com/a/wsa/msb-competition-jan-feb-2005-the-fallen-tab-s13368t1
34,https://www.songsterr.com/a/wsa/msb-competition-mar-apr-2005-dawn-of-battle-tab-s13227t0
35,https://www.songsterr.com/a/wsa/msb-competition-november-2004-at-the-labyrinth-s-center-tab-s12207t1
