,0
0,https://www.songsterr.com/a/wsa/gojira-silvera-tab-s406784t0
1,https://www.songsterr.com/a/wsa/pantera-i-m-broken-tab-s23782t0
2,https://www.songsterr.com/a/wsa/death-voice-of-the-soul-tab-s5634t1
3,https://www.songsterr.com/a/wsa/death-symbolic-tab-s6352t0
4,https://www.songsterr.com/a/wsa/death-spirit-crusher-tab-s29118t0
5,https://www.songsterr.com/a/wsa/ghost-b-c-square-hammer-tab-s412647t1
6,https://www.songsterr.com/a/wsa/motley-crue-kickstart-my-heart-tab-s12719t1
7,https://www.songsterr.com/a/wsa/pantera-walk-tab-s22271t1
8,https://www.songsterr.com/a/wsa/death-crystal-mountain-tab-s6234t0
9,https://www.songsterr.com/a/wsa/beatles-yesterday-tab-s86376t1
10,https://www.songsterr.com/a/wsa/children-of-bodom-downfall-tab-s4308t2
11,https://www.songsterr.com/a/wsa/children-of-bodom-kissing-the-shadows-tab-s4086t0
12,https://www.songsterr.com/a/wsa/gojira-stranded-tab-s405567t0
13,https://www.songsterr.com/a/wsa/ghost-b-c-dance-macabre-tab-s442661t0
14,https://www.songsterr.com/a/wsa/pantera-5-minutes-alone-tab-s35396t0
15,https://www.songsterr.com/a/wsa/metallica-the-thing-that-should-not-be-tab-s12481t2
16,https://www.songsterr.com/a/wsa/mastodon-blood-and-thunder-tab-s12344t1
17,https://www.songsterr.com/a/wsa/nirvana-drain-you-tab-s11402t4
18,https://www.songsterr.com/a/wsa/megadeth-conquer-or-die-tab-s404773t0
19,https://www.songsterr.com/a/wsa/children-of-bodom-children-of-bodom-tab-s28228t0
20,https://www.songsterr.com/a/wsa/death-flesh-and-the-power-it-holds-tab-s6222t1
21,https://www.songsterr.com/a/wsa/metallica-whiskey-in-the-jar-tab-s326t2
22,https://www.songsterr.com/a/wsa/children-of-bodom-angels-don-t-kill-tab-s4385t2
23,https://www.songsterr.com/a/wsa/children-of-bodom-everytime-i-die-tab-s5125t2
24,https://www.songsterr.com/a/wsa/children-of-bodom-bed-of-razors-tab-s4595t1
25,https://www.songsterr.com/a/wsa/death-pull-the-plug-tab-s6314t0
26,https://www.songsterr.com/a/wsa/nirvana-lithium-tab-s34t1
27,https://www.songsterr.com/a/wsa/nirvana-come-as-you-are-tab-s14t3
28,https://www.songsterr.com/a/wsa/motley-crue-girls-girls-girls-tab-s22586t1
29,https://www.songsterr.com/a/wsa/children-of-bodom-silent-night-bodom-night-tab-s5095t1
30,https://www.songsterr.com/a/wsa/rammstein-sonne-tab-s51438t8
31,https://www.songsterr.com/a/wsa/sodom-the-vice-of-killing-tab-s54028t0
32,https://www.songsterr.com/a/wsa/death-misanthrope-tab-s5599t2
33,https://www.songsterr.com/a/wsa/insomnium-valediction-tab-s457590t0
34,https://www.songsterr.com/a/wsa/death-without-judgement-best-version-tab-s448250t0
35,https://www.songsterr.com/a/wsa/cradle-of-filth-her-ghost-in-the-fog-tab-s4836t1
36,https://www.songsterr.com/a/wsa/manowar-swords-in-the-wind-tab-s12294t0
37,https://www.songsterr.com/a/wsa/children-of-bodom-children-of-decadence-tab-s3864t2
38,https://www.songsterr.com/a/wsa/motley-crue-danger-tab-s13420t2
39,https://www.songsterr.com/a/wsa/kreator-dystopia-tab-s92856t1
40,https://www.songsterr.com/a/wsa/motley-crue-bastard-tab-s47747t0
41,https://www.songsterr.com/a/wsa/efe-karatoprak-feeling-tab-s515358t0
42,https://www.songsterr.com/a/wsa/evgeni-vutov-pirate2-tab-s515345t1
43,https://www.songsterr.com/a/wsa/lithium-if-i-had-demo-tab-s515353t0
44,https://www.songsterr.com/a/wsa/downgrade-split-tab-s508700t1
45,https://www.songsterr.com/a/wsa/downgrade-instinct-tab-s509096t3
46,https://www.songsterr.com/a/wsa/immolated-humano-impune-tab-s515321t0
47,https://www.songsterr.com/a/wsa/wisniak-prozek-tab-s515294t0
48,https://www.songsterr.com/a/wsa/samove-riffy-ujnikjun-tab-s500666t2
49,https://www.songsterr.com/a/wsa/a-negative-regenerative-pheasant-lost-woods-and-darks-incoherences-tab-s515243t1
50,https://www.songsterr.com/a/wsa/face-of-death-meth-ampheticide-tab-s515240t0
51,https://www.songsterr.com/a/wsa/kbdsfbdjksfbjk-lbjkdfbjkdfbsjk-tab-s506582t2
52,https://www.songsterr.com/a/wsa/negura-bunget-bruiestru-tab-s515224t5
