,0
0,https://www.songsterr.com/a/wsa/composers-of-msb-gamesbr-theme-tab-s4625t6
1,https://www.songsterr.com/a/wsa/fu-manchu-eatin-dust-tab-s7876t4
2,https://www.songsterr.com/a/wsa/jimi-hendrix-rainy-day-dream-away-tab-s9150t5
3,https://www.songsterr.com/a/wsa/ulisses-righi-under-the-spell-tab-s17122t8
4,https://www.songsterr.com/a/wsa/erick-sanchez-the-call-of-the-sirens-tab-s18533t8
5,https://www.songsterr.com/a/wsa/death-from-above-1979-romantic-rights-tab-s6602t0
6,https://www.songsterr.com/a/wsa/jay-jay-226-tab-s10237t7
7,https://www.songsterr.com/a/wsa/death-of-tomorrow-darkness-falls-tab-s6293t6
8,https://www.songsterr.com/a/wsa/catch-22-keasbey-nights-tab-s28003t3
9,https://www.songsterr.com/a/wsa/eskimo-joe-london-bombs-tab-s34421t1
10,https://www.songsterr.com/a/wsa/tyrian-2000-tyrian-the-song-tab-s46610t4
11,https://www.songsterr.com/a/wsa/sinergia-sindrome-camboya-tab-s53511t4
12,https://www.songsterr.com/a/wsa/luke-pense-a-moi-tab-s59624t5
13,https://www.songsterr.com/a/wsa/martin-odonnell-a-walk-in-the-woods-tab-s73293t1
14,https://www.songsterr.com/a/wsa/martin-odonnell-heretic-hero-tab-s73292t2
15,https://www.songsterr.com/a/wsa/jazz-jackrabbit-boss-level-tab-s74259t2
16,https://www.songsterr.com/a/wsa/8-tripping-horses-radioheart-tab-s75806t7
17,https://www.songsterr.com/a/wsa/montreal-erzhl-mir-mehr-tab-s76327t0
18,https://www.songsterr.com/a/wsa/tab-s85651t2
19,https://www.songsterr.com/a/wsa/converge-cutter-tab-s90785t2
20,https://www.songsterr.com/a/wsa/tracy-pendarvis-a-thousand-guitars-tab-s381606t2
21,https://www.songsterr.com/a/wsa/no-doubt-it-s-my-life-d-major-tab-s385706t1
22,https://www.songsterr.com/a/wsa/celine-dion-my-heart-will-go-on-d-major-tab-s386800t2
23,https://www.songsterr.com/a/wsa/chrono-trigger-tyrano-lair-tab-s389407t8
24,https://www.songsterr.com/a/wsa/mason-pearmain-bass-solo-1-tab-s391508t0
25,https://www.songsterr.com/a/wsa/death-from-above-1979-dead-womb-tab-s29136t0
26,https://www.songsterr.com/a/wsa/death-from-above-1979-too-much-love-tab-s399543t0
27,https://www.songsterr.com/a/wsa/death-from-above-1979-my-love-is-shared-tab-s29135t0
28,https://www.songsterr.com/a/wsa/sixteen-the-witch-tab-s401242t3
29,https://www.songsterr.com/a/wsa/panic-station-dopamine-tab-s406550t6
30,https://www.songsterr.com/a/wsa/manowar-warriors-of-the-world-united-tab-s12780t3
31,https://www.songsterr.com/a/wsa/decaying-frost-belial-tab-s407705t7
32,https://www.songsterr.com/a/wsa/palm-bay-city-october-tab-s408294t1
33,https://www.songsterr.com/a/wsa/napalm-death-climate-controllers-tab-s408690t1
34,https://www.songsterr.com/a/wsa/symphony-x-domination-tab-s55265t3
35,https://www.songsterr.com/a/wsa/scarlet-resonance-dreams-never-wake-tab-s413550t5
36,https://www.songsterr.com/a/wsa/second-to-sun-attack-dog-tab-s413589t5
37,https://www.songsterr.com/a/wsa/death-from-above-1979-if-we-don-t-make-it-well-fake-it-tab-s415228t0
38,https://www.songsterr.com/a/wsa/death-from-above-1979-crystal-ball-tab-s415229t1
39,https://www.songsterr.com/a/wsa/death-from-above-1979-right-on-frankenstein-tab-s415230t1
40,https://www.songsterr.com/a/wsa/death-from-above-1979-government-trash-tab-s415233t0
41,https://www.songsterr.com/a/wsa/death-from-above-1979-always-on-tab-s415234t1
42,https://www.songsterr.com/a/wsa/death-from-above-1979-nothin-left-tab-s415232t2
43,https://www.songsterr.com/a/wsa/death-from-above-1979-gemini-tab-s415236t2
44,https://www.songsterr.com/a/wsa/death-from-above-1979-white-is-red-tab-s415235t1
45,https://www.songsterr.com/a/wsa/death-from-above-1979-virgins-tab-s415238t2
46,https://www.songsterr.com/a/wsa/death-from-above-1979-the-physical-world-tab-s415237t1
47,https://www.songsterr.com/a/wsa/frei-wild-wahre-werte-tab-s418047t7
48,https://www.songsterr.com/a/wsa/fu-manchu-boogie-van-tab-s418409t10
49,https://www.songsterr.com/a/wsa/monstrosity-vicious-mental-thirst-tab-s419761t8
50,https://www.songsterr.com/a/wsa/poison-the-well-loved-ones-excerpts-from-speeches-of-how-great-you-we-re-and-will-never-be-agai-tab-s419934t3
51,https://www.songsterr.com/a/wsa/poison-the-well-the-realist-tab-s419941t7
52,https://www.songsterr.com/a/wsa/hecadoth-where-god-don-t-have-a-word-to-tell-tab-s9340t2
53,https://www.songsterr.com/a/wsa/ayreon-loser-tab-s26156t4
54,https://www.songsterr.com/a/wsa/impaled-nazarene-goat-sodomy-tab-s38256t2
55,https://www.songsterr.com/a/wsa/mind-odyssey-confide-in-you-tab-s43510t4
56,https://www.songsterr.com/a/wsa/shaman-time-will-come-tab-s53245t7
57,https://www.songsterr.com/a/wsa/symphony-x-fallen-tab-s55261t1
58,https://www.songsterr.com/a/wsa/symphony-x-sonata-tab-s55284t3
59,https://www.songsterr.com/a/wsa/symphony-x-prelude-tab-s55286t2
60,https://www.songsterr.com/a/wsa/vader-carnal-tab-s57532t2
61,https://www.songsterr.com/a/wsa/wounds-panzer-attack-tab-s58404t1
62,https://www.songsterr.com/a/wsa/inferi-the-ruin-of-mankind-tab-s71725t8
63,https://www.songsterr.com/a/wsa/nachtmystium-assassins-tab-s76711t2
64,https://www.songsterr.com/a/wsa/belphegor-the-goatchrist-tab-s2707t5
65,https://www.songsterr.com/a/wsa/crucifire-moon-jaruth-tab-s4600t2
66,https://www.songsterr.com/a/wsa/angra-nova-era-tab-s1889t7
67,https://www.songsterr.com/a/wsa/bled-spitshine-sonata-tab-s425037t9
68,https://www.songsterr.com/a/wsa/epoch-crysis-g-lesashvili-holycost-tab-s425518t3
69,https://www.songsterr.com/a/wsa/symphony-x-the-odyssey-part-1-tab-s380114t14
70,https://www.songsterr.com/a/wsa/symphony-x-the-odyssey-part-2-tab-s380115t14
71,https://www.songsterr.com/a/wsa/msb-competition-sep-oct-2005-message-to-tab-s13369t10
72,https://www.songsterr.com/a/wsa/my-tab-2-tab-s434022t1
73,https://www.songsterr.com/a/wsa/apostasian-cinder-tab-s435313t2
74,https://www.songsterr.com/a/wsa/ivariis-l0d-tab-s436135t3
75,https://www.songsterr.com/a/wsa/death-from-above-1979-holy-books-tab-s436857t1
76,https://www.songsterr.com/a/wsa/r8932jrj823-r328j989r32-tab-s437138t2
77,https://www.songsterr.com/a/wsa/plastus-ogorek-noname-2005-tab-s15996t2
78,https://www.songsterr.com/a/wsa/mastodondon-roots-remain-tab-s433932t4
79,https://www.songsterr.com/a/wsa/deathspell-omega-apokatastasis-panton-tab-s397534t4
80,https://www.songsterr.com/a/wsa/gutspawn-storm-of-iron-tab-s443649t1
81,https://www.songsterr.com/a/wsa/gutspawn-hell-pit-abomination-tab-s443648t1
82,https://www.songsterr.com/a/wsa/gutspawn-untitled-tab-s443651t1
83,https://www.songsterr.com/a/wsa/gutspawn-in-the-temple-of-the-horned-rat-tab-s443650t0
84,https://www.songsterr.com/a/wsa/southking-hellhound-tab-s444446t1
