,0
0,https://www.songsterr.com/a/wsa/slipknot-duality-tab-s18211t0
1,https://www.songsterr.com/a/wsa/slipknot-sulfur-tab-s23577t2
2,https://www.songsterr.com/a/wsa/slipknot-before-i-forget-tab-s1379t1
3,https://www.songsterr.com/a/wsa/slipknot-unsainted-tab-s452454t0
4,https://www.songsterr.com/a/wsa/slipknot-snuff-tab-s35673t5
5,https://www.songsterr.com/a/wsa/chevelle-well-enough-alone-tab-s28186t1
6,https://www.songsterr.com/a/wsa/parkway-drive-a-cold-day-in-hell-tab-s23546t0
7,https://www.songsterr.com/a/wsa/chevelle-saferwaters-tab-s28181t1
8,https://www.songsterr.com/a/wsa/parkway-drive-anasasis-xenophontis-tab-s49993t1
9,https://www.songsterr.com/a/wsa/chevelle-antisaint-tab-s28197t0
10,https://www.songsterr.com/a/wsa/a-perfect-circle-judith-tab-s920t0
11,https://www.songsterr.com/a/wsa/linkin-park-don-t-stay-tab-s11964t0
12,https://www.songsterr.com/a/wsa/beautiful-sedativ-a-sharp-tab-s2447t3
13,https://www.songsterr.com/a/wsa/chevelle-grab-thy-hand-tab-s4137t1
14,https://www.songsterr.com/a/wsa/chevelle-send-the-pain-below-tab-s5032t1
15,https://www.songsterr.com/a/wsa/classical-competition-the-jasmine-blooms-in-the-hands-of-the-carter-tab-s4372t0
16,https://www.songsterr.com/a/wsa/composers-of-msb-a-grain-of-time-the-rule-of-lruht-viking-klingon-tab-s4993t1
17,https://www.songsterr.com/a/wsa/composers-of-msb-accordionic-groove-sewing-patches-of-the-minimalistic-tab-s4598t3
18,https://www.songsterr.com/a/wsa/composers-of-msb-fuck-the-white-house-tab-s4058t0
19,https://www.songsterr.com/a/wsa/composers-of-msb-accordiorganistic-5634-tab-s4411t0
20,https://www.songsterr.com/a/wsa/composers-of-msb-thrazzy-tab-s4290t0
21,https://www.songsterr.com/a/wsa/composers-of-msb-demon-accordions-tab-s4118t5
