,0
0,https://www.songsterr.com/a/wsa/jimi-hendrix-little-wing-tab-s321t0
1,https://www.songsterr.com/a/wsa/van-halen-panama-tab-s18645t0
2,https://www.songsterr.com/a/wsa/slash-anastasia-tab-s90866t3
3,https://www.songsterr.com/a/wsa/slash-the-godfather-theme-tab-s63341t0
4,https://www.songsterr.com/a/wsa/van-halen-eruption-tab-s92811t0
5,https://www.songsterr.com/a/wsa/guns-n-roses-don-t-cry-tab-s125t3
6,https://www.songsterr.com/a/wsa/slayer-raining-blood-tab-s17904t1
7,https://www.songsterr.com/a/wsa/slayer-angel-of-death-tab-s17586t1
8,https://www.songsterr.com/a/wsa/blind-guardian-the-bards-song-tab-s66295t0
9,https://www.songsterr.com/a/wsa/guns-n-roses-november-rain-tab-s8452t1
10,https://www.songsterr.com/a/wsa/guns-n-roses-paradise-city-tab-s10142t2
11,https://www.songsterr.com/a/wsa/alice-in-chains-man-in-the-box-tab-s355t0
12,https://www.songsterr.com/a/wsa/stevie-ray-vaughan-pride-and-joy-tab-s240t1
13,https://www.songsterr.com/a/wsa/extreme-more-than-words-tab-s6702t0
14,https://www.songsterr.com/a/wsa/jimi-hendrix-all-along-the-watchtower-tab-s340t0
15,https://www.songsterr.com/a/wsa/stevie-ray-vaughan-little-wing-tab-s28379t1
16,https://www.songsterr.com/a/wsa/metallica-fuel-tab-s12104t1
17,https://www.songsterr.com/a/wsa/yngwie-malmsteen-arpeggios-from-hell-tab-s13661t0
18,https://www.songsterr.com/a/wsa/slayer-seasons-in-the-abyss-tab-s17564t0
19,https://www.songsterr.com/a/wsa/guns-n-roses-knockin-on-heaven-s-door-tab-s481t0
20,https://www.songsterr.com/a/wsa/buckethead-soothsayer-tab-s10107t4
21,https://www.songsterr.com/a/wsa/cannibal-corpse-hammer-smashed-face-tab-s24286t0
22,https://www.songsterr.com/a/wsa/sungha-jung-your-name-sparkle-tab-s455601t0
23,https://www.songsterr.com/a/wsa/kiss-i-was-made-for-loving-you-tab-s24363t3
