,0
0,https://www.songsterr.com/a/wsa/air-surfing-on-a-rocket-tab-s994t3
1,https://www.songsterr.com/a/wsa/doga-poletuju-tab-s5219t5
2,https://www.songsterr.com/a/wsa/el-canto-del-loco-contigo-tab-s7228t1
3,https://www.songsterr.com/a/wsa/home-town-hero-bed-of-dreams-tab-s8953t6
4,https://www.songsterr.com/a/wsa/rage-against-the-machine-war-within-a-breath-tab-s17243t3
5,https://www.songsterr.com/a/wsa/rage-against-the-machine-face-off-tab-s16704t1
6,https://www.songsterr.com/a/wsa/ramzes-the-hooligans-kiosk-tab-s16636t2
7,https://www.songsterr.com/a/wsa/patryk-rose-that-damn-love-tab-s17078t3
8,https://www.songsterr.com/a/wsa/satanic-legion-unholy-father-of-pain-tab-s17465t3
9,https://www.songsterr.com/a/wsa/scales-and-arpeggios-harmonic-minor-arpeggios-tab-s17426t1
10,https://www.songsterr.com/a/wsa/top-gear-top-gear-3000-intro-tab-s20287t1
11,https://www.songsterr.com/a/wsa/nobuo-uematsu-another-world-of-beasts-tab-s21232t3
12,https://www.songsterr.com/a/wsa/underground-vibes-soul-symphony-tab-s21413t2
13,https://www.songsterr.com/a/wsa/akira-yamaoka-you-re-not-here-tab-s20765t7
14,https://www.songsterr.com/a/wsa/simon-garfunkel-the-boxer-tab-s18502t7
15,https://www.songsterr.com/a/wsa/sum-41-reign-in-pain-tab-s18722t4
16,https://www.songsterr.com/a/wsa/winger-hungry-tab-s21602t8
17,https://www.songsterr.com/a/wsa/verdena-starless-tab-s21398t6
18,https://www.songsterr.com/a/wsa/ascelia-consuming-love-tab-s1890t3
19,https://www.songsterr.com/a/wsa/afi-but-home-is-nowhere-tab-s24812t2
20,https://www.songsterr.com/a/wsa/1kempfi1-nightmare-tab-s640t1
21,https://www.songsterr.com/a/wsa/msb-competition-may-jun-2005-nightmare-tab-s13565t1
22,https://www.songsterr.com/a/wsa/farin-urlaub-alle-dasselbe-tab-s21269t6
23,https://www.songsterr.com/a/wsa/lifehouse-everything-tab-s22594t7
24,https://www.songsterr.com/a/wsa/danzig-let-it-be-captured-tab-s28876t1
25,https://www.songsterr.com/a/wsa/afi-ether-tab-s30851t7
26,https://www.songsterr.com/a/wsa/bohse-onkelz-berstimuliert-tab-s32154t4
27,https://www.songsterr.com/a/wsa/daizystripper-brilliant-days-tab-s32838t8
28,https://www.songsterr.com/a/wsa/subways-shake-shake-tab-s33547t3
29,https://www.songsterr.com/a/wsa/die-arzte-allein-tab-s33209t3
30,https://www.songsterr.com/a/wsa/rush-emotion-detector-tab-s52475t5
31,https://www.songsterr.com/a/wsa/verdena-balanite-tab-s57672t3
32,https://www.songsterr.com/a/wsa/zakk-wylde-bridge-to-cross-tab-s58695t4
33,https://www.songsterr.com/a/wsa/afi-love-like-winter-tab-s24811t6
34,https://www.songsterr.com/a/wsa/restart-levo-comigo-tab-s61193t3
35,https://www.songsterr.com/a/wsa/anaesthetics-dream-dead-tab-s65380t5
36,https://www.songsterr.com/a/wsa/danger-danger-under-the-gun-tab-s67187t12
37,https://www.songsterr.com/a/wsa/dover-four-graves-tab-s67402t5
38,https://www.songsterr.com/a/wsa/black-rebel-motorcycle-club-need-some-air-tab-s67814t5
39,https://www.songsterr.com/a/wsa/black-rebel-motorcycle-club-shadows-keeper-tab-s67816t5
40,https://www.songsterr.com/a/wsa/black-rebel-motorcycle-club-high-low-tab-s67820t4
41,https://www.songsterr.com/a/wsa/kid-cudi-sky-might-fall-tab-s72619t4
42,https://www.songsterr.com/a/wsa/radiohead-separator-tab-s73230t1
43,https://www.songsterr.com/a/wsa/cartoons-theme-dragon-ball-z-theme-tab-s74002t2
44,https://www.songsterr.com/a/wsa/silent-hill-always-on-my-mind-tab-s74668t5
45,https://www.songsterr.com/a/wsa/nightmare-parade-tab-s76866t11
46,https://www.songsterr.com/a/wsa/brendan-childs-fall-to-my-knees-tab-s84123t3
47,https://www.songsterr.com/a/wsa/jehangir-aziz-hayat-see-you-soon-tab-s85095t0
48,https://www.songsterr.com/a/wsa/green-day-21st-century-breakdown-with-harmonies-and-lyrics-tab-s86203t7
49,https://www.songsterr.com/a/wsa/lordi-inferno-tab-s88868t0
50,https://www.songsterr.com/a/wsa/nightmare-wasurena-kusa-tab-s378737t7
51,https://www.songsterr.com/a/wsa/tab-s379782t2
52,https://www.songsterr.com/a/wsa/stone-sour-do-me-a-favor-tab-s380285t10
53,https://www.songsterr.com/a/wsa/stone-sour-sadist-tab-s381676t10
54,https://www.songsterr.com/a/wsa/zun-u-n-owen-wa-kanojo-nano-ka-u-n-owen-was-her-tab-s387811t4
55,https://www.songsterr.com/a/wsa/eternal-white-bright-black-forest-tab-s388924t7
56,https://www.songsterr.com/a/wsa/akira-yamaoka-always-on-my-mind-tab-s59202t5
57,https://www.songsterr.com/a/wsa/pox-lick-48-i-am-stan-tab-s392076t2
58,https://www.songsterr.com/a/wsa/tv-ep-20-pals-of-mine-tab-s394031t2
59,https://www.songsterr.com/a/wsa/guns-n-roses-the-garden-tab-s25163t8
60,https://www.songsterr.com/a/wsa/afi-fainting-spells-tab-s91245t2
61,https://www.songsterr.com/a/wsa/motorhead-no-voices-in-the-sky-tab-s398495t2
62,https://www.songsterr.com/a/wsa/michael-angelo-batio-for-whom-the-bell-tolls-tab-s389255t6
63,https://www.songsterr.com/a/wsa/awolnation-run-tab-s400364t1
64,https://www.songsterr.com/a/wsa/motorhead-all-for-you-tab-s402134t2
65,https://www.songsterr.com/a/wsa/anathema-a-simple-mistake-tab-s402515t2
66,https://www.songsterr.com/a/wsa/revocation-chaos-of-forms-tab-s403770t2
67,https://www.songsterr.com/a/wsa/slayer-angel-of-death-banjo-tab-s407880t2
68,https://www.songsterr.com/a/wsa/kiss-i-want-you-tab-s409662t8
69,https://www.songsterr.com/a/wsa/mr-big-still-ain-t-enough-for-me-tab-s409810t2
70,https://www.songsterr.com/a/wsa/biffy-clyro-a-girl-and-his-cat-tab-s405827t3
71,https://www.songsterr.com/a/wsa/dream-theater-greatest-hit-and-21-other-pretty-cool-songs-tab-s411758t13
72,https://www.songsterr.com/a/wsa/kotiteollisuus-itken-seinaan-pain-tab-s412011t5
73,https://www.songsterr.com/a/wsa/kane-my-best-wasn-t-good-enough-tab-s413937t10
74,https://www.songsterr.com/a/wsa/avalanch-pelayo-tab-s414915t11
75,https://www.songsterr.com/a/wsa/black-rebel-motorcycle-club-let-the-day-begin-tab-s415068t3
76,https://www.songsterr.com/a/wsa/circa-survive-always-getting-what-you-want-tab-s415361t8
77,https://www.songsterr.com/a/wsa/freak-kitchen-breathe-tab-s417675t4
78,https://www.songsterr.com/a/wsa/firehouse-don-t-treat-me-bad-tab-s417955t8
79,https://www.songsterr.com/a/wsa/smash-mouth-the-fonz-tab-s419831t3
80,https://www.songsterr.com/a/wsa/x-japan-say-anything-tab-s420832t10
81,https://www.songsterr.com/a/wsa/x-japan-kurenai-tab-s420854t7
82,https://www.songsterr.com/a/wsa/mae-anything-tab-s421685t9
83,https://www.songsterr.com/a/wsa/vivid-message-tab-s421966t7
84,https://www.songsterr.com/a/wsa/pat-metheny-group-we-live-here-tab-s423330t4
85,https://www.songsterr.com/a/wsa/reuben-freddy-kreuger-tab-s423352t2
86,https://www.songsterr.com/a/wsa/blackfoot-indian-world-tab-s414281t10
87,https://www.songsterr.com/a/wsa/propagandhi-failed-states-tab-s419047t2
88,https://www.songsterr.com/a/wsa/motorhead-don-t-need-religion-tab-s47783t1
89,https://www.songsterr.com/a/wsa/motorhead-devil-i-know-tab-s47793t2
90,https://www.songsterr.com/a/wsa/motorhead-ramones-tab-s47804t2
91,https://www.songsterr.com/a/wsa/motorhead-kingdom-of-the-worm-tab-s47810t1
92,https://www.songsterr.com/a/wsa/motorhead-shoot-you-in-the-back-tab-s76412t1
93,https://www.songsterr.com/a/wsa/motorhead-bite-the-bullet-tab-s76419t1
94,https://www.songsterr.com/a/wsa/motorhead-dead-and-gone-tab-s76417t2
95,https://www.songsterr.com/a/wsa/motorhead-claw-tab-s76421t1
96,https://www.songsterr.com/a/wsa/yngwie-malmsteen-air-on-a-theme-tab-s12470t1
97,https://www.songsterr.com/a/wsa/yngwie-malmsteen-requiem-tab-s12644t4
98,https://www.songsterr.com/a/wsa/yngwie-malmsteen-i-am-a-viking-with-bass-rhytm-tab-s83307t0
99,https://www.songsterr.com/a/wsa/extreme-decadence-dance-tab-s6918t4
100,https://www.songsterr.com/a/wsa/freedom-call-high-enough-tab-s7795t2
101,https://www.songsterr.com/a/wsa/freedom-call-metal-invasion-tab-s7694t2
102,https://www.songsterr.com/a/wsa/gamma-ray-heavy-metal-universe-live-tab-s8066t2
