,0
0,https://www.songsterr.com/a/wsa/beatles-blackbird-tab-s57t0
1,https://www.songsterr.com/a/wsa/isaac-albeniz-asturias-leyenda-tab-s23643t0
2,https://www.songsterr.com/a/wsa/ac-dc-back-in-black-tab-s1024t2
3,https://www.songsterr.com/a/wsa/pachelbel-canon-in-d-major-tab-s59950t0
4,https://www.songsterr.com/a/wsa/led-zeppelin-babe-i-m-gonna-leave-you-tab-s6732t2
5,https://www.songsterr.com/a/wsa/pink-floyd-shine-on-you-crazy-diamond-parts-i-ix-tab-s15518t1
6,https://www.songsterr.com/a/wsa/kansas-dust-in-the-wind-tab-s64t0
7,https://www.songsterr.com/a/wsa/pachelbel-canon-in-c-tab-s90818t0
8,https://www.songsterr.com/a/wsa/frank-sinatra-fly-me-to-the-moon-fingerstyle-tab-s399877t0
9,https://www.songsterr.com/a/wsa/marilyn-manson-sweet-dreams-tab-s443781t2
10,https://www.songsterr.com/a/wsa/johnny-cash-hurt-tab-s455130t0
11,https://www.songsterr.com/a/wsa/metallica-nothing-else-matters-acoustic-tab-s84465t0
12,https://www.songsterr.com/a/wsa/kaare-norge-nocturne-op-9-no-2-frederic-chopin-tab-s92910t0
13,https://www.songsterr.com/a/wsa/dire-straits-sultans-of-swing-tab-s30084t1
14,https://www.songsterr.com/a/wsa/metallica-orion-tab-s12369t1
15,https://www.songsterr.com/a/wsa/red-hot-chili-peppers-scar-tissue-tab-s49t2
16,https://www.songsterr.com/a/wsa/linkin-park-numb-fingerstyle-tab-s91316t0
17,https://www.songsterr.com/a/wsa/lynyrd-skynyrd-sweet-home-alabama-tab-s58984t0
18,https://www.songsterr.com/a/wsa/ozzy-osbourne-crazy-train-tab-s61178t2
19,https://www.songsterr.com/a/wsa/yiruma-shunga-jung-fingerstyle-river-flows-in-you-yiruma-shunga-jung-tab-s435174t0
20,https://www.songsterr.com/a/wsa/megadeth-hangar-18-tab-s12836t1
21,https://www.songsterr.com/a/wsa/led-zeppelin-stairway-to-heaven-guitar-solo-tab-s393733t0
22,https://www.songsterr.com/a/wsa/theme-songs-pirates-of-the-caribbean-tab-s83486t0
23,https://www.songsterr.com/a/wsa/black-sabbath-iron-man-tab-s8t1
24,https://www.songsterr.com/a/wsa/dick-dale-misirlou-tab-s6534t0
25,https://www.songsterr.com/a/wsa/ed-sheeran-i-see-fire-fingerstyle-cover-by-gp-tab-s387601t0
26,https://www.songsterr.com/a/wsa/megadeth-symphony-of-destruction-tab-s487t1
27,https://www.songsterr.com/a/wsa/ludwig-van-beethoven-moonlight-sonata-acoustic-version-tab-s90872t0
28,https://www.songsterr.com/a/wsa/oasis-wonderwall-tab-s2t4
29,https://www.songsterr.com/a/wsa/ac-dc-you-shook-me-all-night-long-tab-s63275t1
30,https://www.songsterr.com/a/wsa/mason-williams-classical-gas-tab-s179t0
31,https://www.songsterr.com/a/wsa/jerryc-canon-rock-tab-s10770t0
32,https://www.songsterr.com/a/wsa/megadeth-holy-wars-the-punishment-due-tab-s24033t1
33,https://www.songsterr.com/a/wsa/megadeth-tornado-of-souls-tab-s12824t2
34,https://www.songsterr.com/a/wsa/red-hot-chili-peppers-can-t-stop-tab-s12t2
35,https://www.songsterr.com/a/wsa/gary-moore-the-loner-tab-s23197t0
36,https://www.songsterr.com/a/wsa/sungha-jung-howls-moving-castle-tab-s91752t0
37,https://www.songsterr.com/a/wsa/estas-tonne-the-song-of-the-golden-dragon-tab-s390080t0
38,https://www.songsterr.com/a/wsa/ac-dc-hells-bells-tab-s205t0
39,https://www.songsterr.com/a/wsa/mayhem-freezing-moon-tab-s12333t0
40,https://www.songsterr.com/a/wsa/avenged-sevenfold-buried-alive-tab-s61130t2
41,https://www.songsterr.com/a/wsa/metallica-ride-the-lightning-tab-s248t1
42,https://www.songsterr.com/a/wsa/alan-walker-faded-fingerstyle-tab-s408190t0
43,https://www.songsterr.com/a/wsa/johann-sebastian-bach-bouree-tab-s390711t0
44,https://www.songsterr.com/a/wsa/tab-s10887t0
45,https://www.songsterr.com/a/wsa/lynyrd-skynyrd-free-bird-tab-s21t3
46,https://www.songsterr.com/a/wsa/judas-priest-breaking-the-law-tab-s10640t3
47,https://www.songsterr.com/a/wsa/ludwig-van-beethoven-fur-elise-tab-s2482t0
48,https://www.songsterr.com/a/wsa/tab-s6711t2
49,https://www.songsterr.com/a/wsa/joe-hisaishi-spirited-away-ost-one-summer-s-day-tab-s389617t0
50,https://www.songsterr.com/a/wsa/blue-oyster-cult-don-t-fear-the-reaper-tab-s3425t0
51,https://www.songsterr.com/a/wsa/plain-white-t-s-hey-there-delilah-tab-s133t0
52,https://www.songsterr.com/a/wsa/led-zeppelin-whole-lotta-love-tab-s449t0
53,https://www.songsterr.com/a/wsa/eddie-van-der-meer-naruto-ost-sadness-sorrow-fingerstyle-tab-s432207t0
54,https://www.songsterr.com/a/wsa/jimi-hendrix-purple-haze-tab-s310t1
55,https://www.songsterr.com/a/wsa/joe-satriani-always-with-me-always-with-you-tab-s22967t1
56,https://www.songsterr.com/a/wsa/lemon-kenshi-yonezu-tab-s450379t0
57,https://www.songsterr.com/a/wsa/yann-tiersen-la-valse-d-amelie-acoustic-tab-s394384t0
58,https://www.songsterr.com/a/wsa/eddie-van-der-meer-unravel-tokyo-ghoul-op-1-tab-s455043t0
59,https://www.songsterr.com/a/wsa/police-every-breath-you-take-tab-s438t0
60,https://www.songsterr.com/a/wsa/gary-moore-parisienne-walkways-tab-s23063t2
61,https://www.songsterr.com/a/wsa/firelake-dirge-for-the-planet-tab-s68205t0
62,https://www.songsterr.com/a/wsa/jaskier-toss-a-coin-to-your-witcher-tab-s460065t0
63,https://www.songsterr.com/a/wsa/carlos-santana-smooth-tab-s17608t1
64,https://www.songsterr.com/a/wsa/white-stripes-seven-nation-army-edit-tab-s432573t2
65,https://www.songsterr.com/a/wsa/bon-jovi-you-give-love-a-bad-name-tab-s23720t2
66,https://www.songsterr.com/a/wsa/rolling-stones-angie-tab-s61t1
67,https://www.songsterr.com/a/wsa/john-petrucci-glasgow-kiss-tab-s15489t1
