,0
0,https://www.songsterr.com/a/wsa/tame-impala-the-less-i-know-the-better-tab-s411169t5
1,https://www.songsterr.com/a/wsa/metallica-orion-tab-s12369t8
2,https://www.songsterr.com/a/wsa/muse-hysteria-tab-s11430t4
3,https://www.songsterr.com/a/wsa/journey-don-t-stop-believin-tab-s10681t2
4,https://www.songsterr.com/a/wsa/oasis-wonderwall-tab-s2t8
5,https://www.songsterr.com/a/wsa/childish-gambino-redbone-tab-s434040t7
6,https://www.songsterr.com/a/wsa/metallica-damage-inc-tab-s13561t5
7,https://www.songsterr.com/a/wsa/europe-the-final-countdown-tab-s7074t8
8,https://www.songsterr.com/a/wsa/black-sabbath-nib-tab-s2661t4
9,https://www.songsterr.com/a/wsa/muse-knights-of-cydonia-tab-s14019t5
10,https://www.songsterr.com/a/wsa/slipknot-duality-tab-s18211t3
11,https://www.songsterr.com/a/wsa/metallica-spit-out-the-bone-tab-s424605t6
12,https://www.songsterr.com/a/wsa/arctic-monkeys-r-u-mine-tab-s90203t4
13,https://www.songsterr.com/a/wsa/beatles-here-comes-the-sun-tab-s60t4
14,https://www.songsterr.com/a/wsa/misc-computer-games-team-fortress-2-medic-tab-s515310t10
15,https://www.songsterr.com/a/wsa/mental-fog-golden-brown-stranglers-cover-tab-s503482t0
16,https://www.songsterr.com/a/wsa/jose-madero-noche-de-baile-tab-s515299t2
17,https://www.songsterr.com/a/wsa/david-bowie-moonage-daydream-tab-s67279t9
18,https://www.songsterr.com/a/wsa/poppy-playtime-it-s-playtime-guitar-version-tab-s515276t5
19,https://www.songsterr.com/a/wsa/poppy-playtime-chapter-1-it-s-playtime-tab-s515275t5
20,https://www.songsterr.com/a/wsa/maneskin-supermodel-tab-s515267t1
21,https://www.songsterr.com/a/wsa/sex-pistols-friggin-in-the-riggin-tab-s515021t1
22,https://www.songsterr.com/a/wsa/two-steps-from-hell-victory-piano-tab-s515183t1
23,https://www.songsterr.com/a/wsa/martin-odonnell-covenant-dance-guitar-tab-s515087t1
24,https://www.songsterr.com/a/wsa/just-dance-x-red-already-over-tab-s514949t6
25,https://www.songsterr.com/a/wsa/metallica-seek-destroy-tab-s247t5
26,https://www.songsterr.com/a/wsa/s3rl-mtc-masterbate-to-cartoons-tab-s514922t2
27,https://www.songsterr.com/a/wsa/lemon-demon-cabinet-man-tab-s499408t6
28,https://www.songsterr.com/a/wsa/prueba-de-ierfda-a-tab-s514881t4
29,https://www.songsterr.com/a/wsa/carie-carie-tab-s514841t8
30,https://www.songsterr.com/a/wsa/dey-john-smth-long-tab-s514824t3
31,https://www.songsterr.com/a/wsa/misfits-children-in-heat-tab-s47271t1
32,https://www.songsterr.com/a/wsa/misfits-devilock-tab-s12350t1
33,https://www.songsterr.com/a/wsa/kirpich-2-2-5-tab-s513609t4
34,https://www.songsterr.com/a/wsa/art-of-insanity-asdorag-tab-s511611t2
35,https://www.songsterr.com/a/wsa/men-at-work-overkill-tab-s46124t3
36,https://www.songsterr.com/a/wsa/synsnake-prism-tab-s514499t8
37,https://www.songsterr.com/a/wsa/efe-karatoprak-pain-tab-s514475t1
38,https://www.songsterr.com/a/wsa/misfits-bloodfeast-tab-s13725t4
39,https://www.songsterr.com/a/wsa/misfits-devils-whorehouse-tab-s24345t4
40,https://www.songsterr.com/a/wsa/primus-john-the-fisherman-tab-s23755t3
41,https://www.songsterr.com/a/wsa/primal-karnage-selected-for-extinction-tab-s514366t14
42,https://www.songsterr.com/a/wsa/tk-from-ling-tosite-sigure-katharsis-tab-s514312t3
43,https://www.songsterr.com/a/wsa/wooden-people-self-titled-pax-romana-tab-s514336t11
44,https://www.songsterr.com/a/wsa/wooden-people-self-titled-sonata-in-c-major-tab-s514335t12
45,https://www.songsterr.com/a/wsa/tab-s514320t5
46,https://www.songsterr.com/a/wsa/rage-fading-hours-tab-s514260t6
47,https://www.songsterr.com/a/wsa/flemjablorg-untitled-viii-tab-s514219t0
48,https://www.songsterr.com/a/wsa/evanescence-better-without-you-tab-s514164t0
49,https://www.songsterr.com/a/wsa/my-chemical-romance-the-light-behind-your-eyes-tab-s391494t2
